id,village_name,adult_males,adult_females,hosted_KHT_projects,distance_to_hospital_km,distance_to_pratom_km,distance_to_mathayom_km
zcrm_361303000000383834,Ban Mae Kong Pae,130,120,Irrigation;WASH,58,5,4
zcrm_361303000000461001,Ban Mae Yuam Noi,43,46,WASH,16,1,16
zcrm_361303000000521001,Ban Mae Ho Klang,68,61,WASH,20,2,2
zcrm_361303000000522010,Ban Khun Mae La,,,School Buses;Further Education Scholarships,,,
zcrm_361303000000527031,Ban Huay Peung Kao,,,School Buses,,,
zcrm_361303000000527032,Ban Rom Yen,43,43,School Buses;Irrigation;Further Education Scholarships;WASH,42,10,42
zcrm_361303000000527033,Ban Huay Pong Lao,73,78,School Buses;Further Education Scholarships;WASH,40,9,40
zcrm_361303000000527034,Ban Mae Sapei Nua,101,100,School Buses;WASH,25,,
zcrm_361303000000527035,Ban Mae Sapei Tai,146,135,School Buses;Further Education Scholarships;WASH,14,,14
zcrm_361303000000527036,Ban Mae Oompai Tai,,,Irrigation;School Buses;WASH,54,,
zcrm_361303000000527037,Ban Huay Pong Karn,46,51,School Buses;Further Education Scholarships;WASH,30,11,
zcrm_361303000000527038,Ban Hua Pon,,,School Buses;Further Education Scholarships,,,
zcrm_361303000000527039,Ban Kham Suk,23,24,School Buses;Further Education Scholarships;WASH,14,,
zcrm_361303000000527040,Ban Mai Pattana,,,School Buses;Further Education Scholarships,,,
zcrm_361303000000527041,Ban Pattana Poo Koo,153,152,School Buses;Irrigation;Further Education Scholarships,7,0,7
zcrm_361303000000527042,Ban Huay Ku Pa,,,School Buses;Further Education Scholarships;WASH,26,,6
zcrm_361303000000527044,Ban Huay Rin,153,168,School Buses;Further Education Scholarships;WASH,5,,
zcrm_361303000000527045,Ban Mae La Luang,,,School Buses;Further Education Scholarships,,,
zcrm_361303000000527046,Ban Santi Suk,,,School Buses,,,
zcrm_361303000000527047,Ban Huay Kai Pa,191,188,School Buses;School Meals;Further Education Scholarships;WASH,22,,12
zcrm_361303000000527048,Ban Huay Pueng Mai,,,School Meals,,,
zcrm_361303000000527049,Khun Yuam,,,School Meals;Further Education Scholarships,,,
zcrm_361303000000527050,Ban Huay San,33,32,School Meals;WASH,40,,
zcrm_361303000000527051,Ban Mae Kheed,217,201,Irrigation;Further Education Scholarships;WASH,50,0,0
zcrm_361303000000527052,Ban Mae La Pa Wai,61,64,School Meals;WASH,80,,
zcrm_361303000000527053,Ban Mae Tho,,,Irrigation;School Meals;Further Education Scholarships,,,
zcrm_361303000000527054,Ban Mae Tho Tai,,,Irrigation;School Buses;School Meals;Further Education Scholarships;WASH,45,,
zcrm_361303000000527055,Ban Mae La Noi Duransik,,,School Meals,,,
zcrm_361303000000527056,Ban Pa Pong,131,121,Further Education Scholarships;WASH,35,,
zcrm_361303000000527057,Ban Kong Pae Nua,,,Further Education Scholarships,,,
zcrm_361303000000527058,Ban Jaw Si Der,,,Further Education Scholarships,,,
zcrm_361303000000527060,Ban San Jao,23,24,WASH,11,1,
zcrm_361303000000527061,Ban Santi Pattana,,,,,,
zcrm_361303000000527062,Ban Na ngeiw,37,50,Further Education Scholarships;WASH,11,,
zcrm_361303000000527063,Ban Hak Mai Tai,,,Further Education Scholarships,,,
zcrm_361303000000527064,Ban Mae Pang,,,Further Education Scholarships,,,
zcrm_361303000000527065,Ban Mae Poon,110,120,Further Education Scholarships;WASH,47,0,28
zcrm_361303000000527066,Khun Yuam Wittaya,,,School Meals;Further Education Scholarships,,,
zcrm_361303000000527067,Mae Tho,,,Further Education Scholarships,,,
zcrm_361303000000527068,Ban Tee Hue Lue,,,Further Education Scholarships,,,
zcrm_361303000000527069,Ban Nam Tok,,,Further Education Scholarships,,,
zcrm_361303000000527070,Ban Khun Mae Yod,,,Further Education Scholarships,,,
zcrm_361303000000527071,Ban Ma Hing Luang,135,136,Further Education Scholarships;WASH,43,,
zcrm_361303000000534424,Ban Huay Ma Ba,96,102,Irrigation;Further Education Scholarships;WASH,56,6,65
zcrm_361303000000543001,Ban Pa Maak,170,180,Irrigation;Further Education Scholarships;WASH,1,0,1
zcrm_361303000000546098,Ban Mae Khi,166,146,School Meals;Further Education Scholarships;WASH,34,,34
zcrm_361303000000654001,Ban Pho So,,,School Meals,,,
zcrm_361303000000667001,Ban Mae Au (Mae Chaem),35,32,WASH,50,6,87
zcrm_361303000000702001,Ban Mae Yuam Luang,47,40,Irrigation;Further Education Scholarships;WASH,12,1,12
zcrm_361303000000702035,Ban Huay Ton Noon,275,290,Irrigation;Further Education Scholarships;WASH,25,0,25
zcrm_361303000000707091,Ban Ler Wa Day,51,54,Irrigation,70,3,10
zcrm_361303000000707147,Ban Po Saw,254,283,Irrigation;WASH,60,0,0
zcrm_361303000000707181,Ban Mae Lor,137,162,Irrigation;WASH,73,0,10
zcrm_361303000000707225,Ban Huay Na,242,244,Irrigation;Further Education Scholarships;WASH,25,0,25
zcrm_361303000000716013,Ban Huay Pong,58,65,Irrigation;WASH,73,5,13
zcrm_361303000000716047,Ban Nong Heang,,,Irrigation;Further Education Scholarships;WASH,25,0,0
zcrm_361303000000716116,Ban Mae Jaa,178,157,Irrigation;Further Education Scholarships;WASH,35,0,35
zcrm_361303000000716180,Ban Mae Song,90,85,Irrigation;Further Education Scholarships,80,12,12
zcrm_361303000000716289,Ban Mae Po,151,164,Irrigation;WASH,90,15,15
zcrm_361303000000716314,Ban Mae Phae,196,184,Irrigation,70,20,20
zcrm_361303000001197125,Ban Thung Pa Kha,201,219,School Buses;Irrigation;WASH,23,3,23
zcrm_361303000001443001,Ban Nong Khao Nua,34,39,WASH,45,12,12
zcrm_361303000001443196,Ban Mae Tia,397,427,Further Education Scholarships;WASH,15,0,15
zcrm_361303000001611292,Ban Kong Soum,,,Further Education Scholarships,,,
zcrm_361303000001611368,Ban Huay Po,,,Further Education Scholarships,,,
zcrm_361303000001611394,Ban Khun Mae Ruam,277,260,Further Education Scholarships;WASH,32,,
zcrm_361303000001611430,Ban Klo Se Lo,,,Further Education Scholarships,,,
zcrm_361303000001611496,Ban Pang Tong,419,422,Further Education Scholarships;WASH,13,,
zcrm_361303000001611560,Ban Huay Hu Pa,,,Further Education Scholarships,,,
zcrm_361303000001611591,Ban Mae Taw La,,,Further Education Scholarships,,,
zcrm_361303000001611617,Ban Huay Sua,,,Further Education Scholarships,,,
zcrm_361303000001611643,Ban Pang Chang,,,Further Education Scholarships,,,
zcrm_361303000001611690,Ban Mae Sa,,,Further Education Scholarships,,,
zcrm_361303000001699013,Ban Mae Wa Luang,,,Further Education Scholarships,,,
zcrm_361303000001699049,Sao Hin,,,Further Education Scholarships,,,
zcrm_361303000001699075,Pa Mark,,,Further Education Scholarships,,,
