Record Id,Solution Number,Solution Owner.id,Solution Title,Published,Status,Product Name.id,No of comments,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Question,Answer,Add Comment,Layout.id,Tag,Solution Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Village.id,Expected Direct Beneficiary Reach,Endline Due Date,Endline Survey Completed,Baseline Survey Completed,Project Start Date,Project End Date,Donor 1 (D1).id,D1 - Interim Report Due,D1 - Amount Donated,Donor 3 (D3).id,D3 - Amount Donated,D3 - Interim Report Due,D1 - Final Report Due,D3 - Funds Received,D1 - Funds Received,D3 - Final Report Due,D2 - Interim Report Due,Donor 2 (D2).id,D2 - Final Report Due,D2 - Amount Donated,D2 - Funds Received,Funding Gap GBP,Project Type,Expected Direct Household Reach,KHTF Staff,Project Code,Household Surveys Needed,Gravel & Sand Sources,Other Donors List (D4),Suitable for UK Volunteers,No. In Water Committee,D4 - Amount Donated,D4 - Funds Received,D4 - Final Report Due,D4 - Interim Report Due,New Latrines Needed,Case Studies,Distance From New Source (m),Distance From New Tanks (m),Source Water Flow,Farmland Above  Source,No. Potential Sources,System Will Affect Farmland,Soil Type,No. Taps to Build,WASH Construction Challenges,Supplementary Sources,Village Water Sources,HH With V. Poor Latrines,Defecation Place When No Latrine,HH Without Latrines,Water Problems Description,Irrigation Problem,Infrastructure Built,Irrigation Construction Challenges,Water Ever Rationed,Distance From Old Source (m),HH With Latrines,Rai of Village Flat/Paddy Fields,Livelihoods Project Notes,WASH Project Notes,School.id,KHT Staff Owner,Crops Grown in Dry Season,Sufficient Water for Irrigation,Sufficient Water In Dry Season,Sufficient Water In Wet Season,Donor Notes,Other Villages,Monthly Expenditure Notes,Males,Education Project Notes,Females,No. of Buses/Dorms,THB GBP FX Rate,Project Budget THB,Other Schools,Monthly Expenditure THB,Access to Education Issues,Child Ages,Overheads THB,Project Proposal Cost THB,% Villagers Affected by Flooding in 2 Years,% Budget Spent,No. Tanks to Build,KY Project Account Spend THB,KHT Project Transfer List Spend THB,% Labour Paid,Manual Adjustments Notes,Manual Finance Adjustments,Total Spend THB,Budget Notes,Project Budget GBP,Project Linked to Other Projects,Endline Survey Actual Date,Other Project Notes,Month of Construction,Course (Scholars Only),School Type,Full Name (Scholar Only),No Interim Reports Due,Last Update,Village Proposal Date,Baseline Survey Date,D2 - Final Report Sent,D1 - Interim Report Sent,D4 - Interim Report Sent,D3 -  Interim Report Sent,D4 - Final Report Sent,D1 - Final Report Sent,D2 - Interim Report Sent,D3 - Final Report Sent,Unused Rai of Flat/Paddy Fields,No. Latrines to Build,Rai of Village Hill Farmland,Wooden Dams Used,Final Grade (Scholars Only),Cost per Beneficiary GBP (From Budget),Funds Remaining GBP,Pre-Project Water Tests,Endline Water Test Date,Failed Pre-Project Water Tests,Water Tests and Failures Notes,Pre-Project Water Test Date,Baseline Water Tests,Failed Baseline Water Tests,Baseline Water Test Date,Endline Water Tests,Failed Endline Water Tests,Pre-Project E Coli MPN/100ml,Baseline E Coli MPN,Endline E Coli MPN,Target Litres Per Person on Day 1,How Did KHT Identify the Project and Site,Corrective Work Requied,Locked,Corrective Work Details,Water Filters to Install,Latest WASH Result,All Donors,Record Status
zcrm_361303000000383844,361303000000383846,zcrm_361303000000269001,Ban Mae Kong Pae May 2021 Irrigation Project,true,6. Monitoring and Implementation Complete,zcrm_361303000000282255,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 15:53:30,2023-02-09 14:46:11,,,,,,,,,2023-02-09 14:27:36,,2021-09-22 22:58:04,2023-02-09 14:46:11,zcrm_361303000000383834,250,2022-06-01,true,true,2021-04-01,2021-06-30,zcrm_361303000001880120,,13488.2,,,,2021-09-01,false,true,,,,,,false,0,New,53,Salahae;Du,94,11,,,false,,,false,,,false,,,,,false,,false,,,Road;Weather,,,,,,,Flood Destroyed Dam/Canal,Dam & Canal,Transport;Labour,,,,61,,,,ELPO,No,No,,,,,,,,,,40.93,552072,,,,,230012.0,322060,60%,104.79,,216519,132000,50%,,,578531,,13488.2,false,2022-06-20,,2021-05-01,,,,true,2023-02-09 14:46:00,2021-05-03,2021-05-10,false,false,false,false,false,false,false,false,47,,61,5,,53.95,-646.44,,,,,,,,,,,,,,,,,false,,,No Baseline or Endline Water Tests Conducted,Jonathan Bates,1
zcrm_361303000000461031,361303000000461033,zcrm_361303000000269001,Ban Mae Yuam Noi July 2021 WASH Project,true,6. Monitoring and Implementation Complete,zcrm_361303000000286015,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-24 16:46:02,2022-08-05 10:40:45,,,,,,,,,2022-08-05 10:22:14,,2022-10-25 09:56:53,2022-08-05 10:40:45,zcrm_361303000000461001,118,2021-10-30,true,true,2021-02-01,2021-11-30,zcrm_361303000000461011,2021-07-30,18004.0,,,,2021-12-31,false,true,,,,,,false,0,New,30,Salahae;Du;Akka;Somboon,179,6,Villagers,,true,8,,false,,,true,1,2250,700,Fast,false,1,false,Gravel,12,Weather,,Government System,20,Forest,10,35 year old government water system. Does not provide sufficient water all season,,,,Open valve twice a day,180,,,,,,HPO,,,No,No,,"Ban Huay Moo, Ban Mae Pa Luang",,,,,,40.93,736888,,,,,230012.0,506876,,100.5,2,19430,491101,,,,740543,,18003.62,false,2021-09-20,,2021-07-01,,,,false,2022-08-05 10:40:00,2021-05-31,2021-07-10,false,true,false,false,false,true,false,false,,30,,,,152.57,-88.91,,2022-03-10 13:00:00,,Endline E Coli MPN Results: Tap 100 & 32.6 & 9.2,,,,,E Coli MPN,E Coli MPN (> low risk),,,>100 (unsafe),,,Yes,false,E Coli contamination to be addressed.,,>100 (unsafe),,1
zcrm_361303000000521061,361303000000521063,zcrm_361303000000269001,Ban Mae Ho Klang November 2021 WASH Project,true,6. Monitoring and Implementation Complete,zcrm_361303000000286015,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-27 14:40:54,2022-08-05 10:40:45,,,,,,,,,2022-08-05 10:22:14,,2022-10-31 13:54:25,2022-08-05 10:40:45,zcrm_361303000000521001,153,2022-03-31,true,true,2021-10-01,2022-03-31,zcrm_361303000000521011,,4276.0,zcrm_361303000000521031,3000.0,,2022-01-31,true,true,2022-01-31,,zcrm_361303000000521021,2022-01-15,4886.0,true,0,New,33,Salahae;Akka;Somboon;Chaplay,180,7,Villagers,The Drinking Fountain Association; Mineral Joaillerie; Rotary Club of Bangkok South (RCBS); BNHA,true,10,5477.0,true,2022-04-30,2022-01-31,true,,1750,500,Slow,false,1,false,Gravel,10,Sand;Gravel;Labour,Stream/Spring,Government System;Stream/Spring,23,Forest,7,"The government water system can't provide enough water for the villagers, especially in the dry season.",,,,Open valve 2 times per day,200,26,,,,,HPO,,,Unknown,No,Final report 30th April 2022 for RCBS and any other donors that want a follow up report. RCBS April report likeley to be largely the same as the January report for other donors,,,,,,,40.93,721964,,,,,220005.0,498799,,97.4,2,24800,458397,,,,703202,,17638.99,false,2022-01-17,,2021-11-01,,,,false,2022-08-05 10:40:00,2019-09-10,2021-11-12,true,false,true,false,true,true,false,true,,33,,,,115.29,458.4,,,,Poor staff training means hygiene contamination likely. Tests potentially out of date,,E Coli P/A;Faecal Coliforms P/A,E Coli P/A (present);Faecal Coliforms P/A (present),2021-11-30 14:00:00,,,,,,,,Yes,false,Investigate E Coli contamination.,,E Coli P/A (present);Faecal Coliforms P/A (present),,1
zcrm_361303000000522060,361303000000522062,zcrm_361303000000269001,Ban Khun Mae La 2021 School Bus,true,6. Monitoring and Implementation Complete,zcrm_361303000000269727,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 11:23:06,2022-08-05 07:15:05,,,,,,,,,2022-08-05 06:58:47,,,2022-08-05 07:15:05,zcrm_361303000000522010,7,,true,false,2021-05-01,2022-03-31,zcrm_361303000000522020,2021-10-15,563.0,zcrm_361303000000522040,347.0,2021-10-15,2022-04-30,true,true,2022-04-30,,zcrm_361303000000522030,,238.0,true,0,Ongoing,,Nootsabar,2101,0,,,false,,,false,,,false,,,,,false,,false,,,,,,,,,,,,,,,,,,,zcrm_361303000000522050,ELPO,,,,,,,"Half rates in May, September, October, March",3,,4,1,40.93,46969,,3500,,12-18 (Secondary),15469.0,31500,,100,,,31500,,,,46969,,1147.54,false,2022-03-12,,,,Pratom (Primary) & Mathayom (Secondary),,false,2022-08-05 07:15:00,,,false,true,false,true,false,true,false,true,,,,,,163.93,0.46,,,,,,,,,,,,,,,,,false,,,,,1
zcrm_361303000000531169,361303000000531277,zcrm_361303000000269001,Ban Huay Peung Kao 2021 School Bus,false,6. Monitoring and Implementation Complete,zcrm_361303000000269727,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 14:55:27,2022-08-05 07:15:05,,,,,,zcrm_361303000000032011,,,2022-08-05 06:58:47,,,2022-08-05 07:15:05,zcrm_361303000000527031,37,,true,false,2021-05-01,2022-03-31,zcrm_361303000000522020,2021-10-15,322.0,zcrm_361303000000522040,198.0,2021-10-15,2022-04-30,true,true,2022-04-30,,zcrm_361303000000522030,,136.0,true,0,Ongoing,,Nootsabar,2102,0,,,false,,,false,,,false,,,,,false,,false,,,,,,,,,,,,,,,,,,,zcrm_361303000000522050,ELPO,,,,,,,"Half rates in May, September, October, March",17,,20,1,40.93,26839,,2000,,4-12 (Primary);12-18 (Secondary),8839.0,18000,,100,,,18000,,,,26839,,655.73,false,2022-04-04,,,,Pratom (Primary) & Mathayom (Secondary),,false,2022-08-05 07:15:00,,,false,true,false,true,false,true,false,true,,,,,,17.72,0.27,,,,,,,,,,,,,,,,,false,,,,,1
zcrm_361303000000531170,361303000000531279,zcrm_361303000000269001,Ban Rom Yen 2021 School Bus,false,6. Monitoring and Implementation Complete,zcrm_361303000000269727,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 14:55:27,2022-08-05 07:15:05,,,,,,zcrm_361303000000032011,,,2022-08-05 06:58:47,,,2022-08-05 07:15:05,zcrm_361303000000527032,15,,true,false,2021-05-01,2022-03-31,zcrm_361303000000522020,2021-10-15,322.0,zcrm_361303000000522040,198.0,2021-10-15,2022-04-30,true,true,2022-04-30,,zcrm_361303000000522030,,136.0,true,0,Ongoing,,Nootsabar,2103,0,,,false,,,false,,,false,,,,,false,,false,,,,,,,,,,,,,,,,,,,zcrm_361303000000528033,ELPO,,,,,,,"Half rates in May, September, October, March",10,,5,1,40.93,26839,,2000,,4-11 (Primary),8839.0,18000,,100,,,18000,,,,26839,,655.73,false,2022-03-08,,,,Pratom (Primary),,false,2022-08-05 07:15:00,,,false,true,false,true,false,true,false,true,,,,,,43.72,0.27,,,,,,,,,,,,,,,,,false,,,,,1
zcrm_361303000000531171,361303000000531281,zcrm_361303000000269001,Ban Huay Pong Lao 2021 School Bus,false,6. Monitoring and Implementation Complete,zcrm_361303000000269727,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 14:55:27,2022-08-05 07:15:05,,,,,,zcrm_361303000000032011,,,2022-08-05 06:58:47,,,2022-08-05 07:15:05,zcrm_361303000000527033,5,,true,false,2021-05-01,2022-03-31,zcrm_361303000000522020,2021-10-15,241.0,zcrm_361303000000522040,149.0,2021-10-15,2022-04-30,true,true,2022-04-30,,zcrm_361303000000522030,,102.0,true,0,Ongoing,,Nootsabar,2104,0,,,false,,,false,,,false,,,,,false,,false,,,,,,,,,,,,,,,,,,,zcrm_361303000000528034,ELPO,,,,,,,"Half rates in May, September, October, March",0,,5,1,40.93,20129,,1500,,4-11 (Primary),6629.0,13500,,100,,,13500,,,,20129,,491.79,false,2022-03-11,,,,Pratom (Primary),,false,2022-08-05 07:15:00,,,false,true,false,true,false,true,false,true,,,,,,98.36,0.21,,,,,,,,,,,,,,,,,false,,,,,1
zcrm_361303000000531172,361303000000531283,zcrm_361303000000269001,Ban Mae Sapei Nua 2021 School Bus,false,6. Monitoring and Implementation Complete,zcrm_361303000000269727,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 14:55:27,2022-08-05 07:15:05,,,,,,zcrm_361303000000032011,,,2022-08-05 06:58:47,,,2022-08-05 07:15:05,zcrm_361303000000527034,38,,true,false,2021-05-01,2022-03-31,zcrm_361303000000522020,2021-10-15,402.0,zcrm_361303000000522040,248.0,2021-10-15,2022-04-30,true,true,2022-04-30,,zcrm_361303000000522030,,170.0,true,0,Ongoing,,Nootsabar,2105,0,,,false,,,false,,,false,,,,,false,,false,,,,,,,,,,,,,,,,,,,zcrm_361303000000528035,ELPO,,,,,,,"Half rates in May, September, October, March",10,,28,2,40.93,33549,,2500,,4-12 (Primary),11049.0,22500,,100,,,22500,,,,33549,,819.67,false,2022-04-01,,,,Pratom (Primary),,false,2022-08-05 07:15:00,,,false,true,false,true,false,true,false,true,,,,,,21.57,0.33,,,,,,,,,,,,,,,,,false,,,,,1
zcrm_361303000000531173,361303000000531285,zcrm_361303000000269001,Ban Mae Sapei Tai 2021 School Bus,false,6. Monitoring and Implementation Complete,zcrm_361303000000269727,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 14:55:27,2022-08-05 07:15:05,,,,,,zcrm_361303000000032011,,,2022-08-05 06:58:47,,,2022-08-05 07:15:05,zcrm_361303000000527035,11,,true,false,2021-05-01,2022-03-31,zcrm_361303000000522020,2021-10-15,161.0,zcrm_361303000000522040,99.0,2021-10-15,2022-04-30,true,true,2022-04-30,,zcrm_361303000000522030,,68.0,true,0,Ongoing,,Nootsabar,2106,0,,,false,,,false,,,false,,,,,false,,false,,,,,,,,,,,,,,,,,,,zcrm_361303000000461077,ELPO,,,,,,,"Half rates in May, September, October, March",2,,9,1,40.93,13420,,1000,,11-18 (Secondary),4420.0,9000,,100,,,9000,,,,13420,,327.88,false,2022-03-14,,,,Mathayom (Secondary),,false,2022-08-05 07:15:00,,,false,true,false,true,false,true,false,true,,,,,,29.81,0.12,,,,,,,,,,,,,,,,,false,,,,,1
zcrm_361303000000531174,361303000000531287,zcrm_361303000000269001,Ban Mae Oompai Tai 2021 School Bus,false,6. Monitoring and Implementation Complete,zcrm_361303000000269727,0,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 14:55:27,2022-08-05 07:15:05,,,,,,zcrm_361303000000032011,,,2022-08-05 06:58:47,,,2022-08-05 07:15:05,zcrm_361303000000527036,22,,true,false,2021-05-01,2022-03-31,zcrm_361303000000522020,2021-10-15,965.0,zcrm_361303000000522040,595.0,2021-10-15,2022-04-30,true,true,2022-04-30,,zcrm_361303000000522030,,408.0,true,0,Ongoing,,Nootsabar,2107,0,,,false,,,false,,,false,,,,,false,,false,,,,,,,,,,,,,,,,,,,zcrm_361303000000528036,ELPO,,,,,,Ban Mae Oompai Nua,"Half rates in May, September, October, March",9,,13,1,40.93,80518,,6000,,4-18 (Primary & Secondary),26518.0,54000,,100,,54000,,,,,80518,,1967.21,false,2022-02-24,,,,Pratom (Primary) & Mathayom (Secondary),,false,2022-08-05 07:15:00,,,false,true,false,true,false,true,false,true,,,,,,89.42,0.79,,,,,,,,,,,,,,,,,false,,,,,1
