Record Id,Village Owner.id,Rating,Village Name,Phone,Fax,Parent Village.id,Website,Ticker Symbol,Village Type,Ownership,Industry,Employees,Annual Revenue,SIC Code,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Last Activity Time,Billing Street,Shipping Street,Billing City,Shipping City,Billing Province,Shipping Province,Billing Code,Shipping Code,Billing Country,Shipping Country,Description,Layout.id,Village Number,Village Site,Score,Positive Score,Negative Score,Positive Touch Point Score,Touch Point Score,Negative Touch Point Score,Tag,Village Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Change Log Time,Households,Average Household Income,Road Conditions,Total Population,Latest Livelihoods Survey,Potential KHT Projects,Latest Education Survey,Potential Project Notes,Villagers Consulted,GPS Latitude,GPS Longitude,Latest WASH Survey,% Population Without Enough Rice,District.id,Nearest Town.id,Children (Aged 0 - 18),Distance to Town (km),Adult Males,Tribe,Forest Department,Adult Females,Season Accesibility,Average Annual HH Income (THB),Province,Village has Dorm,Distance to Hospital (km),Annual Malaria Cases,No. Children in Dorm,Nearest Health Centre,Distance to Pratom (km),Annual Typhoid Cases,No. Students at Uni,Distance to Health Centre (km),No. Children Go To Pratom,Annual Stomarch Ulcer Cases,No. Graduates,Annual Diabetes Cases,Nearest Mathayom (Seconary).id,Annual Cancer Cases,No. Children Go To Mathayom,Village Deaths in Last Year,Distance to Mathayom (km),Common Diseases,Nearest Pratom (Primary).id,Village Schools,Nearest Hospital.id,Latest non-KHT Clean Water Project,Latest non-KHT Rice Bank Project,Latest non-KHT Electricity Project,Sufficient Drinking Water in Dry Season,Non-KHT Projects Comments,Latest non-KHT Animal Bank Project,Previous Gov/Royal Aid Projects,General Comments,Latest non-KHT School Project,Previous Non-KHT NGO Projects,Current Water Sources,Latest non-KHT Solar Project,Latest non-KHT Road Project,Sufficient Drinking Water in Wet Season,Latest non-KHT Satelite Project,Village's Name,Name of Village,Latest non-KHT Irrigation Project,Number of People without Thai ID Cards,Are Any KHT Staff Connected to the Village?,No. Children Living Away in Dormitories,No. Children Who Don't Go to Mathayom but Should,No. Children Who Don't Go to Pratom but Should,Locked,Hosted KHT Projects,Last Enriched Time,Enrich Status,Record Status
zcrm_361303000000383834,zcrm_361303000000269001,,Ban Mae Kong Pae,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 15:52:54,2024-01-18 08:16:16,,,2024-01-18 08:16:16,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2022-07-25 11:53:51,,,2024-01-18 08:16:16,,53,,"Average (some paved road, some potholes)",250,2021-05-03,Education Scholarships;School Meals;School Buses,,,Village Heaman;Village Leader;Villagers,18.565066,98.116619,2013-09-21,60.0,zcrm_361303000000401954,zcrm_361303000000401954,,58,130,Sgaw,Mae La Noi,120,All Seasons,20000,Mae Hong Son,false,58,0,,Ban Kok Luang,5,2,4,11,11,21.0,4,0.0,zcrm_361303000000401980,0.0,15,,4,Flu,zcrm_361303000000401970,No Schools,zcrm_361303000000401954,1994-01-01,,2006-01-01,,,,Yes,,1991-01-01,No,,2004-01-01,1991-01-01,,,Ban Mae Kong Pae,Ban Mae Kong Pae,1991-01-01,,,,,,false,Irrigation;WASH,,,1
zcrm_361303000000461001,zcrm_361303000000269001,,Ban Mae Yuam Noi,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-24 16:34:30,2022-08-05 10:22:16,,,2022-08-05 10:22:16,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2022-07-25 11:57:33,,,2022-08-05 10:22:16,,30,,"Good (paved roads, few potholes)",118,,WASH Repair;WASH Extension;School Buses,,"Mosquito Nets, Blankets, Water Repair, Water Extension, Latrines, Scholarship, School Bus",Village Heaman;Village Leader;Villagers,18.8184,98.05048,2021-05-31,50.0,zcrm_361303000000461057,zcrm_361303000000461057,29,16,43,Sgaw,Khun Yuam,46,All Seasons,20000,Mae Hong Son,false,16,5,,Ban Pong Tong,1,3,3,5,16,,4,0.0,zcrm_361303000000461077,0.0,6,0.0,16,"Ulcer, Flu",zcrm_361303000000461087,No Schools,zcrm_361303000000461057,1986-01-01,,2000-01-01,No,,,Yes,,1986-01-01,No,Government Water System,2004-01-01,2001-01-01,No,,Ban Mae Yuam Noi,Ban Mae Yuam Noi,,,,,,,false,WASH,,,1
zcrm_361303000000521001,zcrm_361303000000269001,,Ban Mae Ho Klang,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-27 14:25:02,2022-08-05 10:22:16,,,2022-08-05 10:22:16,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2022-08-05 10:22:16,,33,,Very Good (paved roads),153,,WASH Repair;WASH Extension;Latrines;Mosquito Nets;Irrigation Dam;Irrigation Channel;Irrigation Repair;School Meals;School Buses,,,Village Heaman;Village Leader;Villagers,18.133738,98.078612,2019-09-12,40.0,zcrm_361303000000521090,zcrm_361303000000521090,24,20,68,Sgaw,Mae Sariang,61,All Seasons,20000,Mae Hong Son,false,20,4,0,Ban Mae Ho,2,1,4,2,15,,5,0.0,zcrm_361303000000521157,0.0,6,,2,Ulcer & Flu,zcrm_361303000000521157,No Schools,zcrm_361303000000521090,,,,Unknown,,,,,,,Government Water System;Stream/Spring,,,No,,Ban Mae Ho Klang,Ban Mae Ho Klang,,,,,,,false,WASH,,,1
zcrm_361303000000522010,zcrm_361303000000269001,,Ban Khun Mae La,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 11:14:18,2024-04-17 17:01:46,,,2024-04-17 17:01:46,,,,,,,,,,,,,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 17:01:46,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,zcrm_361303000000401954,,,,,,,,,,,,,,,,Ban Khun Mae La,Ban Khun Mae La,,,,,,,false,School Buses;Further Education Scholarships,,,1
zcrm_361303000000527031,zcrm_361303000000269001,,Ban Huay Peung Kao,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:25:05,2024-04-17 17:00:40,,,2024-04-17 17:00:40,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 17:00:40,,,,,,,,,,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ban Huay Peung Kao,Ban Huay Peung Kao,,,,,,,false,School Buses,,,1
zcrm_361303000000527032,zcrm_361303000000269001,,Ban Rom Yen,,,,,,Yomban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:25:05,2024-04-17 17:03:51,,,2024-04-17 17:03:51,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 17:03:51,,24,,,117,2008-04-24,"Education Scholarship, Latrine",,,,,,2008-09-04,20.0,zcrm_361303000001881209,zcrm_361303000000461057,31,42,43,,Khun Yuam,43,All Seasons,,Mae Hong Son,false,42,,,Ban Mae Ki,10,1,,10,15,,,,zcrm_361303000000461077,,,,42,"Flu, Ulcer",zcrm_361303000000528033,,zcrm_361303000000461057,2007-01-01,,,,,,Yes,,,No,,,,,,Ban Rom Yen,Ban Rom Yen,,,,,,,false,School Buses;Irrigation;Further Education Scholarships;WASH,,,1
zcrm_361303000000527033,zcrm_361303000000269001,,Ban Huay Pong Lao,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:25:05,2024-04-17 16:59:08,,,2024-04-17 16:59:08,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 16:59:08,,46,,,231,,"Education Scholarship, Blankets,  Mosquito Nets, Latrine",,FALSE,,18.61241,97.8565,2008-09-07,40.0,zcrm_361303000001881209,,80,40,73,,Khun Yuam,78,Dry Season,,Mae Hong Son,false,40,8,,Ban Mae Ki,9,1,,9,32,,,,zcrm_361303000000461077,,19,,40,Flu and Ulcer,zcrm_361303000000528034,No Schools,zcrm_361303000000461057,1997-01-01,,,,,,Yes,,,No,Government Water System,,,,,Ban Huay Pong Lao,Ban Huay Pong Lao,,,,,,,false,School Buses;Further Education Scholarships;WASH,,,1
zcrm_361303000000527034,zcrm_361303000000269001,,Ban Mae Sapei Nua,,,,,,,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:25:05,2024-04-17 16:57:51,,,2024-04-17 16:57:51,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 16:57:51,,70,,,300,,"Blankets, Mosquito Nets, Education",,,,18.90522,97.85216,2003-10-12,50.0,,zcrm_361303000000461057,99,25,101,,Khun Yuam,100,All Seasons,,Mae Hong Son,false,25,5,,Khun Yuam,,38,,25,25,,,,,,,,,"Ulcer, influenza",,Prathom (Primary),zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Mae Sapei Nua,Ban Mae Sapei Nua,,,,,,,false,School Buses;WASH,,,1
zcrm_361303000000527035,zcrm_361303000000269001,,Ban Mae Sapei Tai,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:25:05,2024-04-17 16:56:27,,,2024-04-17 16:56:27,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 16:56:27,,88,,,395,,"Education Scholarship, Blankets,  Mosquito Nets, Latrine, school transport",,FALSE,,18.9324,97.86873,2010-04-20,40.0,zcrm_361303000000461057,zcrm_361303000000461057,114,14,146,,Khun Yuam,135,All Seasons,,Mae Hong Son,false,14,5,,Ban Mae Su Rin,,10,,12,104,,,,,,15,,14,,,Prathom (Primary),zcrm_361303000000461057,,,,,,,Yes,,,No,Government Water System,,,,,Ban Mae Sapei Tai,Ban Mae Sapei Tai,,,,,,,false,School Buses;Further Education Scholarships;WASH,,,1
zcrm_361303000000527036,zcrm_361303000000269001,,Ban Mae Oompai Tai,,,,,,Mooban,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:25:05,2024-04-17 16:54:00,,,2024-04-17 16:54:00,,,,,,,,,,,,zcrm_361303000000032035,0,,0,0,0,0,0,0,,,2022-07-25 11:20:46,,,2024-04-17 16:54:00,,88,,,397,2017-01-13,"Blankets, Mosquito Nets, Education",,,,18.75611,98.03743,2002-10-15,20.0,zcrm_361303000000401954,zcrm_361303000000401954,,54,,,Mae La Noi,,Dry Season,,Mae Hong Son,false,54,11,,Ban Mae To,,7,,3,25,,,,,,,,,"Flu, Stomach ache, Headache",zcrm_361303000001881154,No Schools,zcrm_361303000000401954,,,,,,,Yes,,,No,Government Water System,,,,,Ban Mae Oompai Tai,Ban Mae Oompai Tai,,,,,,,false,School Buses;Irrigation;WASH,,,1
