Field Id,Module Id,Label,Api Name,Field Data Type,Is Custom,Maximum Length,Decimal Places,Rounding Precision,Is Unique,Is Encrypt,Formula Return Type,Formula Decimal Places,Preifx,Suffix,Starting Number,Parent Module Id,Header Label
zcrm_361303000000000127,zcrm_361303000000000061,First Name,first_name,1,false,50,2,2,,,,,,,,,First Name
zcrm_361303000000000129,zcrm_361303000000000061,Last Name,last_name,127,false,50,2,2,,,,,,,,,Last Name
zcrm_361303000000000131,zcrm_361303000000000061,Email,email,25,false,100,2,2,,,,,,,,,Email
zcrm_361303000000000133,zcrm_361303000000000061,Alias,alias,1,false,50,2,2,,,,,,,,,Alias
zcrm_361303000000000137,zcrm_361303000000000061,Phone,phone,33,false,30,2,2,,,,,,,,,Phone
zcrm_361303000000000139,zcrm_361303000000000061,Mobile,mobile,33,false,30,2,2,,,,,,,,,Mobile
zcrm_361303000000000141,zcrm_361303000000000061,Website,website,21,false,250,2,2,,,,,,,,,Website
zcrm_361303000000000143,zcrm_361303000000000061,Fax,fax,35,false,30,2,2,,,,,,,,,Fax
zcrm_361303000000000145,zcrm_361303000000000061,Street,street,1,false,250,2,2,,,,,,,,,Street
zcrm_361303000000000147,zcrm_361303000000000061,City,city,1,false,100,2,2,,,,,,,,,City
zcrm_361303000000000149,zcrm_361303000000000061,State,state,1,false,100,2,2,,,,,,,,,Province
zcrm_361303000000000151,zcrm_361303000000000061,Country,country,1,false,100,2,2,,,,,,,,,Country
zcrm_361303000000000153,zcrm_361303000000000061,Zip Code,zip,1,false,30,2,2,,,,,,,,,Postal Code
zcrm_361303000000000155,zcrm_361303000000000061,Language,locale,2,false,120,2,2,,,,,,,,,Language
zcrm_361303000000000157,zcrm_361303000000000061,Country Locale,country_locale,2,false,120,2,2,,,,,,,,,Country Locale
zcrm_361303000000000159,zcrm_361303000000000061,Time Zone,time_zone,2,false,120,2,2,,,,,,,,,Time Zone
zcrm_361303000000000271,zcrm_361303000000000069,Note Owner,Owner,8,false,120,2,2,,,,,,,,zcrm_361303000000000061,Note Owner.id
zcrm_361303000000000273,zcrm_361303000000000069,Note Title,Note_Title,1,false,120,2,2,,,,,,,,,Note Title
zcrm_361303000000000275,zcrm_361303000000000069,Note Content,Note_Content,1,false,65535,2,2,,,,,,,,,Note Content
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000095,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000043,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000045,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000047,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000049,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000073,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000067,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000103,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000099,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000063,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000109,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000101,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000111,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000105,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000051,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000107,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000097,Parent.id
zcrm_361303000000000277,zcrm_361303000000000069,Parent Id,Parent_Id,4,false,120,2,2,,,,,,,,zcrm_361303000000000065,Parent.id
zcrm_361303000000000279,zcrm_361303000000000069,Created By,Created_By,20,false,25,2,2,,,,,,,,zcrm_361303000000000061,Created By.id
zcrm_361303000000000281,zcrm_361303000000000069,Modified By,Modified_By,20,false,25,2,2,,,,,,,,zcrm_361303000000000061,Modified By.id
zcrm_361303000000000283,zcrm_361303000000000069,Created Time,Created_Time,200,false,25,2,2,,,,,,,,,Created Time
zcrm_361303000000000285,zcrm_361303000000000069,Modified Time,Modified_Time,200,false,25,2,2,,,,,,,,,Modified Time
zcrm_361303000000000287,zcrm_361303000000000071,Competitor Name,Competitor_Name,1,false,120,2,2,,,,,,,,,Competitor Name
