PickList Id,Field Id,Layout Id,Value,Actual Value,Sort Order,Api Name,Default Value,Is System Value,Is Customized,Is Restricted,Is Default,Color Code,Category,Allowed Time
zcrm_361303000000002259,zcrm_361303000000000235,zcrm_361303000000032041,Outbound,Outbound,1,Empty_Option,,true,false,,true,,,
zcrm_361303000000002261,zcrm_361303000000000235,zcrm_361303000000032041,Inbound,Inbound,2,Empty_Option1,,true,false,,false,,,
zcrm_361303000000002263,zcrm_361303000000000237,zcrm_361303000000032041,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002265,zcrm_361303000000000237,zcrm_361303000000032041,Prospecting,Prospecting,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002267,zcrm_361303000000000237,zcrm_361303000000032041,Administrative,Administrative,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002269,zcrm_361303000000000237,zcrm_361303000000032041,Negotiation,Negotiation,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002271,zcrm_361303000000000237,zcrm_361303000000032041,Demo,Demo,5,Empty_Option4,,true,false,,,,,
zcrm_361303000000002273,zcrm_361303000000000237,zcrm_361303000000032041,Project,Project,6,Empty_Option5,,true,false,,,,,
zcrm_361303000000002275,zcrm_361303000000000237,zcrm_361303000000032041,Desk,Support,7,Empty_Option6,,true,false,,,,,
zcrm_361303000000002277,zcrm_361303000000000711,zcrm_361303000000032015,New,New,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002279,zcrm_361303000000000711,zcrm_361303000000032015,On Hold,On Hold,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002281,zcrm_361303000000000711,zcrm_361303000000032015,Escalated,Escalated,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002283,zcrm_361303000000000711,zcrm_361303000000032015,Closed,Closed,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002285,zcrm_361303000000000715,zcrm_361303000000032015,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002287,zcrm_361303000000000715,zcrm_361303000000032015,High,High,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002289,zcrm_361303000000000715,zcrm_361303000000032015,Medium,Medium,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002291,zcrm_361303000000000715,zcrm_361303000000032015,Low,Low,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002293,zcrm_361303000000000717,zcrm_361303000000032015,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002295,zcrm_361303000000000717,zcrm_361303000000032015,Problem,Problem,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002297,zcrm_361303000000000717,zcrm_361303000000032015,Feature Request,Feature Request,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002299,zcrm_361303000000000717,zcrm_361303000000032015,Question,Question,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002301,zcrm_361303000000000719,zcrm_361303000000032015,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002303,zcrm_361303000000000719,zcrm_361303000000032015,Email,Email,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002305,zcrm_361303000000000719,zcrm_361303000000032015,Phone,Phone,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002307,zcrm_361303000000000719,zcrm_361303000000032015,Web,Web,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002309,zcrm_361303000000000771,zcrm_361303000000032011,1. Draft stage,Draft,1,Empty_Option,,true,true,,,,,
zcrm_361303000000002311,zcrm_361303000000000771,zcrm_361303000000032011,2. Seeking Donors,Reviewed,2,Empty_Option1,,true,true,,,,,
zcrm_361303000000002313,zcrm_361303000000000771,zcrm_361303000000032011,3. Planned Implementation,Duplicate,3,Empty_Option2,,true,true,,,,,
zcrm_361303000000002315,zcrm_361303000000000383,,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002317,zcrm_361303000000000383,,Acquired,Acquired,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002319,zcrm_361303000000000383,,Active,Active,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002321,zcrm_361303000000000383,,Market Failed,Market Failed,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002323,zcrm_361303000000000383,,Project Cancelled,Project Cancelled,5,Empty_Option4,,true,false,,,,,
zcrm_361303000000002325,zcrm_361303000000000383,,Shut Down,ShutDown,6,Empty_Option5,,true,false,,,,,
zcrm_361303000000002327,zcrm_361303000000000397,zcrm_361303000000032035,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002329,zcrm_361303000000000397,,Analyst,Analyst,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002331,zcrm_361303000000000397,,Competitor,Competitor,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002333,zcrm_361303000000000397,,Customer,Customer,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002335,zcrm_361303000000000397,zcrm_361303000000032035,Mooban,Investor,7,Empty_Option4,,true,true,,,,,
zcrm_361303000000002337,zcrm_361303000000000397,,Partner,Partner,9,Empty_Option5,,true,false,,,,,
zcrm_361303000000002339,zcrm_361303000000000397,,Karen & Thai,Press,10,Empty_Option6,,true,true,,,,,
zcrm_361303000000002341,zcrm_361303000000000397,,Prospect,Prospect,11,Empty_Option7,,true,false,,,,,
zcrm_361303000000002343,zcrm_361303000000000397,,Other,Other,8,Empty_Option8,,true,false,,,,,
zcrm_361303000000002345,zcrm_361303000000000399,,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002347,zcrm_361303000000000399,,Other,Other,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002349,zcrm_361303000000000399,,Private,Private,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002351,zcrm_361303000000000399,,Public,Public,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002353,zcrm_361303000000000399,,Subsidiary,Subsidiary,5,Empty_Option4,,true,false,,,,,
zcrm_361303000000002355,zcrm_361303000000000401,,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002361,zcrm_361303000000000401,,Government/Military,Government/Military,5,Empty_Option1,,true,false,,,,,
zcrm_361303000000002379,zcrm_361303000000000449,,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002381,zcrm_361303000000000449,,Advertisement,Advertisement,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002383,zcrm_361303000000000449,,Cold Call,Cold Call,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002385,zcrm_361303000000000449,,Employee Referral,Employee Referral,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002387,zcrm_361303000000000449,,External Referral,External Referral,5,Empty_Option4,,true,false,,,,,
zcrm_361303000000002389,zcrm_361303000000000449,,Partner,Partner,7,Empty_Option5,,true,false,,,,,
zcrm_361303000000002391,zcrm_361303000000000449,,Public Relations,Public Relations,8,Empty_Option6,,true,false,,,,,
zcrm_361303000000002393,zcrm_361303000000000449,,Trade Show,Trade Show,12,Empty_Option7,,true,false,,,,,
zcrm_361303000000002399,zcrm_361303000000000449,,Facebook,Facebook,19,Empty_Option8,,true,false,,,,,
zcrm_361303000000002401,zcrm_361303000000000449,,Twitter,Twitter,18,Empty_Option9,,true,false,,,,,
zcrm_361303000000002403,zcrm_361303000000000549,zcrm_361303000000032043,Existing Business,Existing Business,2,Empty_Option,,true,false,,,,,
zcrm_361303000000002405,zcrm_361303000000000549,zcrm_361303000000032043,-None-,-None-,1,Empty_Option1,,true,false,,,,,
zcrm_361303000000002407,zcrm_361303000000000549,zcrm_361303000000032043,New Business,New Business,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002409,zcrm_361303000000000557,zcrm_361303000000032043,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002411,zcrm_361303000000000557,zcrm_361303000000032043,Advertisement,Advertisement,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002413,zcrm_361303000000000557,zcrm_361303000000032043,Cold Call,Cold Call,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002415,zcrm_361303000000000557,zcrm_361303000000032043,Employee Referral,Employee Referral,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002417,zcrm_361303000000000557,zcrm_361303000000032043,External Referral,External Referral,5,Empty_Option4,,true,false,,,,,
zcrm_361303000000002419,zcrm_361303000000000557,zcrm_361303000000032043,Partner,Partner,7,Empty_Option5,,true,false,,,,,
zcrm_361303000000002421,zcrm_361303000000000557,zcrm_361303000000032043,Public Relations,Public Relations,8,Empty_Option6,,true,false,,,,,
zcrm_361303000000002423,zcrm_361303000000000557,zcrm_361303000000032043,Trade Show,Trade Show,12,Empty_Option7,,true,false,,,,,
zcrm_361303000000002431,zcrm_361303000000000609,,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002433,zcrm_361303000000000609,,Advertisement,Advertisement,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002435,zcrm_361303000000000609,,Cold Call,Cold Call,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002437,zcrm_361303000000000609,,Employee Referral,Employee Referral,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002439,zcrm_361303000000000609,,External Referral,External Referral,5,Empty_Option4,,true,false,,,,,
zcrm_361303000000002441,zcrm_361303000000000609,,Partner,Partner,7,Empty_Option5,,true,false,,,,,
zcrm_361303000000002443,zcrm_361303000000000609,,Public Relations,Public Relations,8,Empty_Option6,,true,false,,,,,
zcrm_361303000000002445,zcrm_361303000000000609,,Trade Show,Trade Show,12,Empty_Option7,,true,false,,,,,
zcrm_361303000000002451,zcrm_361303000000000609,,Facebook,Facebook,17,Empty_Option8,,true,false,,,,,
zcrm_361303000000002453,zcrm_361303000000000609,,Twitter,Twitter,16,Empty_Option9,,true,false,,,,,
zcrm_361303000000002457,zcrm_361303000000000611,,Contacted,Contacted,4,Empty_Option,,true,false,,,,false,
zcrm_361303000000002459,zcrm_361303000000000611,,Contact in Future,Contact in Future,3,Empty_Option1,,true,false,,,,false,
zcrm_361303000000002461,zcrm_361303000000000611,,Not Contacted,Not Contacted,7,Empty_Option2,,true,false,,,,false,
zcrm_361303000000002463,zcrm_361303000000000611,,Attempted to Contact,Attempted to Contact,2,Empty_Option3,,true,false,,,,false,
zcrm_361303000000002465,zcrm_361303000000000611,,Lost Lead,Lost Lead,6,Empty_Option4,,true,false,,,,false,
zcrm_361303000000002467,zcrm_361303000000000611,,-None-,-None-,1,Empty_Option5,,true,false,,,,false,
zcrm_361303000000002469,zcrm_361303000000000611,,Junk Lead,Junk Lead,5,Empty_Option6,,true,false,,,,false,
zcrm_361303000000002471,zcrm_361303000000000613,,-None-,-None-,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002477,zcrm_361303000000000613,,Government/Military,Government/Military,5,Empty_Option1,,true,false,,,,,
zcrm_361303000000002495,zcrm_361303000000000163,zcrm_361303000000032055,Email,Email,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002497,zcrm_361303000000000163,zcrm_361303000000032055,Call,Call,2,Empty_Option1,,true,false,,,,,
zcrm_361303000000002499,zcrm_361303000000000163,zcrm_361303000000032055,Meeting,Meeting,3,Empty_Option2,,true,false,,,,,
zcrm_361303000000002501,zcrm_361303000000000163,zcrm_361303000000032055,Send Letter,Send Letter,4,Empty_Option3,,true,false,,,,,
zcrm_361303000000002503,zcrm_361303000000000163,zcrm_361303000000032055,Product Demo,Product Demo,5,Empty_Option4,,true,false,,,,,
zcrm_361303000000002505,zcrm_361303000000000171,zcrm_361303000000032055,Not Started,Not Started,1,Empty_Option,,true,false,,,,,
zcrm_361303000000002507,zcrm_361303000000000171,zcrm_361303000000032055,Deferred,Deferred,2,Empty_Option1,,true,false,,,,,
