Record Id,Note Owner.id,Note Title,Note Content,Parent.id,Created By.id,Modified By.id,Created Time,Modified Time
zcrm_361303000000388961,zcrm_361303000000269001,,First project on Zoho with real data,zcrm_361303000000383844,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 16:13:36,2021-09-22 18:45:13
zcrm_361303000000579025,zcrm_361303000000269001,Donation receipt needed,Billy to send donor receipt to JB,zcrm_361303000000546017,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-09 04:22:23,2021-11-09 04:22:23
zcrm_361303000000648001,zcrm_361303000000269001,,"Implementation planned for Nov 21, but positive COVID-19 case delayed to Dec 21.",zcrm_361303000000534454,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-18 04:33:01,2021-11-18 04:33:01
zcrm_361303000000648006,zcrm_361303000000269001,,Project further delayed because of further COVID-19 cases. Moved from Dec 21 to Jan 22.,zcrm_361303000000534454,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-18 04:33:46,2022-07-05 13:00:54
zcrm_361303000000654042,zcrm_361303000000269001,,One off project,zcrm_361303000000654021,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-19 08:30:46,2021-11-19 08:30:46
zcrm_361303000000706010,zcrm_361303000000269001,Overheads,Overheads low due to be taken from remainder of Kadoorie Wash construction budget. Overheads had already been allocated for Kadoories donation,zcrm_361303000000704046,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 06:06:39,2021-11-26 06:06:39
zcrm_361303000000707086,zcrm_361303000000269001,,"Project proposal says canal only, but photos clearly show dam also built",zcrm_361303000000707031,zcrm_361303000000269001,zcrm_361303000000269001,2021-11-26 07:21:19,2021-11-26 07:21:19
zcrm_361303000000884001,zcrm_361303000000269001,,"All of Alborada applied to project proposal cost, with remainder for overheads",zcrm_361303000000814117,zcrm_361303000000269001,zcrm_361303000000269001,2022-01-03 11:32:05,2022-01-03 11:32:05
zcrm_361303000000890001,zcrm_361303000000269001,,12000 THB extra in supplier costs due to increase in costs,zcrm_361303000000543021,zcrm_361303000000269001,zcrm_361303000000269001,2022-01-04 02:49:24,2022-01-04 02:49:24
zcrm_361303000000890030,zcrm_361303000000269001,,"OVerrun in time, still going as of 4 January 2022",zcrm_361303000000543021,zcrm_361303000000269001,zcrm_361303000000269001,2022-01-04 03:10:38,2022-01-04 03:10:38
zcrm_361303000000920001,zcrm_361303000000269001,,Also send to Give2Asia as they funneled Chad's money,zcrm_361303000000534454,zcrm_361303000000269001,zcrm_361303000000269001,2022-01-11 12:58:27,2022-01-11 12:58:27
zcrm_361303000001058014,zcrm_361303000000269001,,"Project proposal originally 1,048,579 for 50 latrines, reduced to 901 279 by reducing to 35 latrines in February 2022",zcrm_361303000000814117,zcrm_361303000000269001,zcrm_361303000000269001,2022-02-15 03:17:20,2022-02-15 03:17:20
zcrm_361303000001175013,zcrm_361303000000269001,,"CmAD final report may come forwards to end of March 22, MJ checking now w/ donor",zcrm_361303000000654049,zcrm_361303000000269001,zcrm_361303000000269001,2022-03-04 10:47:40,2022-03-04 10:47:40
