Record Id,Town/District Name,Phone,Email,Website,GL Account,Category,Town/District Owner.id,Created By.id,Modified By.id,Created Time,Modified Time,Currency,Exchange Rate,Street,City,Province,Postal Code,Country,Description,Layout.id,Tag,Town/District Image,User Modified Time,System Related Activity Time,User Related Activity Time,System Modified Time,Sub-District Id,District Id,Typ,GPS Latitude,Address,GPS Longitude,Sub-District (if not one) Id,Types,Locked
zcrm_361303000000401941,Mae Na Jang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 17:33:58,2021-09-23 11:06:01,,,,,,,,,,,,2021-09-23 11:06:01,,,,,,Sub-District,,,,,Sub-District,false
zcrm_361303000000401954,Mae La Noi,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 17:34:13,2021-09-23 11:00:06,,,,,,,,,,,,2021-09-23 11:00:06,,,,,,Town,,,,,Town;District,false
zcrm_361303000000401970,Ban Mae Na Jang Tai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 17:36:05,2021-09-23 11:00:20,,,,,,,,,,,,2021-09-23 11:00:20,,,,,,Town,,,,,Town,false
zcrm_361303000000401980,Ban Mae Kheed,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-22 17:36:28,2021-09-23 11:06:08,,,,,,,,,,,,2021-09-23 11:06:08,,,,,,Town,,,,,Town,false
zcrm_361303000000461047,Mae U-Khor,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-27 10:33:00,2021-09-27 10:33:00,,,,,,,,,,,,,,,,,,,,,,,District,false
zcrm_361303000000461057,Khun Yuam,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-27 10:40:14,2022-07-14 07:36:19,,,,,,,,,,,,2022-07-14 07:36:19,,,,,,,,,,,Town;District;Sub-District,false
zcrm_361303000000461077,Khun Yuam Wittaya,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-27 10:41:32,2021-10-28 12:29:39,,,,,,,,,,,,2021-10-28 12:29:39,,,,,,,,,,,School,false
zcrm_361303000000461087,Ban Kham Suk,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-09-27 10:41:40,2021-10-28 12:29:19,,,,,,,,,,,,2021-10-28 12:29:19,,,,,,,,,,,School,false
zcrm_361303000000521090,Mae Sariang,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-27 14:43:03,2021-10-27 14:43:03,,,,,,,,,,,,,,,,,,,,,,,District,false
zcrm_361303000000521157,Sang Waln Wittaya,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-27 14:47:26,2021-10-28 12:28:54,,,,,,,,,,,,2021-10-28 12:28:54,,,,,,,,,,,School,false
zcrm_361303000000521194,Ban Mae Ho,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-27 14:49:13,2021-10-27 14:49:13,,,,,,,,,,,,,,,,,,,,,,,Town,false
zcrm_361303000000522050,Ban Huay Peung Mai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 11:22:10,2021-10-28 12:28:32,,,,,,,,,,,,2021-10-28 12:28:32,,,,,,,,,,,School,false
zcrm_361303000000528033,Ban Huay San,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528034,Ban Mae Khi,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528035,Ban Mae Sapei Tai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528036,Ban Mae Tho,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528037,Ban Pha Larn,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528038,Mae La Noi Duransik,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528039,Ban Huay Pueng Mai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528040,Ban Mae La Pa Wai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528041,Ban Mae Tho Tai,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528042,Mae Sariang Vocational College,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528044,Chiang Rai Rajaphat University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528045,Mae Hong Son Rajaphat University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
zcrm_361303000000528046,Burapha University,,,,,,zcrm_361303000000269001,zcrm_361303000000269001,zcrm_361303000000269001,2021-10-28 12:32:09,2021-10-28 12:32:09,,,,,,,,,zcrm_361303000000032059,,,,,,,,,,,,,,School,false
