Record Id               ,Village Owner.id        ,Rating ,Village Name                  ,Phone ,Fax ,Parent Village.id ,Website ,Ticker Symbol ,Village Type ,Ownership ,Industry ,Employees ,Annual Revenue ,SIC Code ,Created By.id           ,Modified By.id          ,Created Time        ,Modified Time       ,Currency ,Exchange Rate ,Last Activity Time  ,Billing Street ,Shipping Street ,Billing City ,Shipping City ,Billing Province ,Shipping Province ,Billing Code ,Shipping Code ,Billing Country ,Shipping Country ,Description ,Layout.id               ,Village Number ,Village Site ,Score ,Positive Score ,Negative Score ,Positive Touch Point Score ,Touch Point Score ,Negative Touch Point Score ,Tag ,Village Image ,User Modified Time  ,System Related Activity Time ,User Related Activity Time ,System Modified Time ,Change Log Time ,Households ,Average Household Income ,Road Conditions                                    ,Total Population ,Latest Livelihoods Survey ,Potential KHT Projects                                                                                                                                          ,Latest Education Survey ,Potential Project Notes                                                                     ,Villagers Consulted                      ,GPS Latitude ,GPS Longitude ,Latest WASH Survey ,% Population Without Enough Rice ,District Id             ,Nearest Town Id         ,Children (Aged 0 - 18) ,Distance to Town (km) ,Adult Males ,Tribe ,Forest Department ,Adult Females ,Season Accesibility ,Average Annual HH Income (THB) ,Province     ,Village has Dorm ,Distance to Hospital (km) ,Annual Malaria Cases ,No. Children in Dorm ,Nearest Health Centre ,Distance to Pratom (km) ,Annual Typhoid Cases ,No. Students at Uni ,Distance to Health Centre (km) ,No. Children Go To Pratom ,Annual Stomarch Ulcer Cases ,No. Graduates ,Annual Diabetes Cases ,Nearest Mathayom (Seconary) Id ,Annual Cancer Cases ,No. Children Go To Mathayom ,Village Deaths in Last Year ,Distance to Mathayom (km) ,Common Diseases                                                                                                          ,Nearest Pratom (Primary) Id ,Village Schools   ,Nearest Hospital Id     ,Latest non-KHT Clean Water Project ,Latest non-KHT Rice Bank Project ,Latest non-KHT Electricity Project ,Sufficient Drinking Water in Dry Season ,Non-KHT Projects Comments                                                                      ,Latest non-KHT Animal Bank Project ,Previous Gov/Royal Aid Projects ,General Comments ,Latest non-KHT School Project ,Previous Non-KHT NGO Projects ,Current Water Sources                 ,Latest non-KHT Solar Project ,Latest non-KHT Road Project ,Sufficient Drinking Water in Wet Season ,Latest non-KHT Satelite Project ,Village's Name                ,Name of Village               ,Latest non-KHT Irrigation Project ,Number of People without Thai ID Cards ,Are Any KHT Staff Connected to the Village?               ,No. Children Living Away in Dormitories ,No. Children Who Don't Go to Mathayom but Should ,No. Children Who Don't Go to Pratom but Should ,Locked ,Hosted KHT Projects                                                      ,Last Enriched Time ,Enrich Status
zcrm_361303000000383834 ,zcrm_361303000000269001 ,       ,Ban Mae Kong Pae              ,      ,    ,                  ,        ,              ,Mooban       ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,9/22/2021 15:52,2/9/2023 14:27,         ,              ,2/9/2023 14:27,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,                        ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:53,                             ,                           ,2/9/2023 14:27,                ,53,                         ,"Average (some paved road, some potholes)         ",250,5/3/2021,Education Scholarships;School Meals;School Buses                                                                                                                ,                        ,                                                                                            ,Village Heaman;Village Leader;Villagers  ,18.565066,98.116619,9/21/2013,60,zcrm_361303000000401954 ,zcrm_361303000000401954 ,                       ,58,130,Sgaw  ,Mae La Noi        ,120,All Seasons         ,20000,Mae Hong Son ,false            ,58,0,                     ,Ban Kok Luang         ,5,2,4,11,11,21,4,0,zcrm_361303000000401980        ,0,15,                            ,4,Flu                                                                                                                      ,zcrm_361303000000401970     ,No Schools        ,zcrm_361303000000401954 ,1/1/1994,                                 ,1/1/2006,                                        ,                                                                                               ,                                   ,Yes                             ,                 ,1/1/1991,No                            ,                                      ,1/1/2004,1/1/1991,                                        ,                                ,Ban Mae Kong Pae              ,Ban Mae Kong Pae              ,1/1/1991,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,Irrigation;WASH                                                          ,                   ,
zcrm_361303000000461001 ,zcrm_361303000000269001 ,       ,Ban Mae Yuam Noi              ,      ,    ,                  ,        ,              ,Yomban       ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,9/24/2021 16:34,8/5/2022 10:22,         ,              ,8/5/2022 10:22,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,                        ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:57,                             ,                           ,8/5/2022 10:22,                ,30,                         ,"Good (paved roads, few potholes)                 ",118,                          ,WASH Repair;WASH Extension;School Buses                                                                                                                         ,                        ,"Mosquito Nets, Blankets, Water Repair, Water Extension, Latrines, Scholarship, School Bus ",Village Heaman;Village Leader;Villagers  ,18.8184,98.05048,5/31/2021,50,zcrm_361303000000461057 ,zcrm_361303000000461057 ,29,16,43,Sgaw  ,Khun Yuam         ,46,All Seasons         ,20000,Mae Hong Son ,false            ,16,5,                     ,Ban Pong Tong         ,1,3,3,5,16,                            ,4,0,zcrm_361303000000461077        ,0,6,0,16,"Ulcer, Flu                                                                                                             ",zcrm_361303000000461087     ,No Schools        ,zcrm_361303000000461057 ,1/1/1986,                                 ,1/1/2000,No                                      ,                                                                                               ,                                   ,Yes                             ,                 ,1/1/1986,No                            ,Government Water System               ,1/1/2004,1/1/2001,No                                      ,                                ,Ban Mae Yuam Noi              ,Ban Mae Yuam Noi              ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,WASH                                                                     ,                   ,
zcrm_361303000000521001 ,zcrm_361303000000269001 ,       ,Ban Mae Ho Klang              ,      ,    ,                  ,        ,              ,Yomban       ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/27/2021 14:25,8/5/2022 10:22,         ,              ,8/5/2022 10:22,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,                        ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,8/5/2022 10:22,                ,33,                         ,Very Good (paved roads)                            ,153,                          ,WASH Repair;WASH Extension;Latrines;Mosquito Nets;Irrigation Dam;Irrigation Channel;Irrigation Repair;School Meals;School Buses                                 ,                        ,                                                                                            ,Village Heaman;Village Leader;Villagers  ,18.133738,98.078612,9/12/2019,40,zcrm_361303000000521090 ,zcrm_361303000000521090 ,24,20,68,Sgaw  ,Mae Sariang       ,61,All Seasons         ,20000,Mae Hong Son ,false            ,20,4,0,Ban Mae Ho            ,2,1,4,2,15,                            ,5,0,zcrm_361303000000521157        ,0,6,                            ,2,Ulcer & Flu                                                                                                              ,zcrm_361303000000521157     ,No Schools        ,zcrm_361303000000521090 ,                                   ,                                 ,                                   ,Unknown                                 ,                                                                                               ,                                   ,                                ,                 ,                              ,                              ,Government Water System;Stream/Spring ,                             ,                            ,No                                      ,                                ,Ban Mae Ho Klang              ,Ban Mae Ho Klang              ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,WASH                                                                     ,                   ,
zcrm_361303000000522010 ,zcrm_361303000000269001 ,       ,Ban Khun Mae La               ,      ,    ,                  ,        ,              ,             ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/28/2021 11:14,12/15/2022 16:40,         ,              ,12/15/2022 16:40,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,                        ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,12/15/2022 16:40,                ,           ,                         ,                                                   ,                 ,                          ,                                                                                                                                                                ,                        ,                                                                                            ,                                         ,             ,              ,                   ,                                 ,                        ,                        ,                       ,                      ,            ,      ,                  ,              ,                    ,                               ,             ,false            ,                          ,                     ,                     ,                      ,                        ,                     ,                    ,                               ,                          ,                            ,              ,                      ,                               ,                    ,                            ,                            ,                          ,                                                                                                                         ,                            ,                  ,zcrm_361303000000401954 ,                                   ,                                 ,                                   ,                                        ,                                                                                               ,                                   ,                                ,                 ,                              ,                              ,                                      ,                             ,                            ,                                        ,                                ,Ban Khun Mae La               ,Ban Khun Mae La               ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,School Buses;Further Education Scholarships                              ,                   ,
zcrm_361303000000527031 ,zcrm_361303000000269001 ,       ,Ban Huay Peung Kao            ,      ,    ,                  ,        ,              ,             ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/28/2021 12:25,12/15/2022 16:40,         ,              ,12/15/2022 16:40,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,zcrm_361303000000032035 ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,12/15/2022 16:40,                ,           ,                         ,                                                   ,                 ,                          ,                                                                                                                                                                ,                        ,                                                                                            ,                                         ,             ,              ,                   ,                                 ,                        ,                        ,                       ,                      ,            ,      ,                  ,              ,                    ,                               ,             ,false            ,                          ,                     ,                     ,                      ,                        ,                     ,                    ,                               ,                          ,                            ,              ,                      ,                               ,                    ,                            ,                            ,                          ,                                                                                                                         ,                            ,                  ,                        ,                                   ,                                 ,                                   ,                                        ,                                                                                               ,                                   ,                                ,                 ,                              ,                              ,                                      ,                             ,                            ,                                        ,                                ,Ban Huay Peung Kao            ,Ban Huay Peung Kao            ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,School Buses                                                             ,                   ,
zcrm_361303000000527032 ,zcrm_361303000000269001 ,       ,Ban Rom Yen                   ,      ,    ,                  ,        ,              ,Yomban       ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/28/2021 12:25,12/15/2022 16:40,         ,              ,12/15/2022 16:40,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,zcrm_361303000000032035 ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,12/15/2022 16:40,                ,24,                         ,                                                   ,117,4/24/2008,"Education Scholarship, Latrine                                                                                                                                ",                        ,                                                                                            ,                                         ,             ,              ,9/4/2008,20,zcrm_361303000001881209 ,zcrm_361303000000461057 ,31,42,43,      ,Khun Yuam         ,43,All Seasons         ,                               ,Mae Hong Son ,false            ,42,                     ,                     ,Ban Mae Ki            ,10,1,                    ,10,15,                            ,              ,                      ,zcrm_361303000000461077        ,                    ,                            ,                            ,42,"Flu, Ulcer                                                                                                             ",zcrm_361303000000528033     ,                  ,zcrm_361303000000461057 ,1/1/2007,                                 ,                                   ,                                        ,                                                                                               ,                                   ,Yes                             ,                 ,                              ,No                            ,                                      ,                             ,                            ,                                        ,                                ,Ban Rom Yen                   ,Ban Rom Yen                   ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,School Buses;Irrigation;Further Education Scholarships;WASH              ,                   ,
zcrm_361303000000527033 ,zcrm_361303000000269001 ,       ,Ban Huay Pong Lao             ,      ,    ,                  ,        ,              ,Mooban       ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/28/2021 12:25,12/15/2022 15:27,         ,              ,12/15/2022 15:27,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,zcrm_361303000000032035 ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,12/15/2022 15:27,                ,46,                         ,                                                   ,231,                          ,"Education Scholarship, Blankets,  Mosquito Nets, Latrine                                                                                                      ",                        ,FALSE                                                                                       ,                                         ,18.61241,97.8565,9/7/2008,40,zcrm_361303000001881209 ,                        ,80,40,73,      ,Khun Yuam         ,78,Dry Season          ,                               ,Mae Hong Son ,false            ,40,8,                     ,Ban Mae Ki            ,9,1,                    ,9,32,                            ,              ,                      ,zcrm_361303000000461077        ,                    ,19,                            ,40,Flu and Ulcer                                                                                                            ,zcrm_361303000000528034     ,No Schools        ,zcrm_361303000000461057 ,1/1/1997,                                 ,                                   ,                                        ,                                                                                               ,                                   ,Yes                             ,                 ,                              ,No                            ,Government Water System               ,                             ,                            ,                                        ,                                ,Ban Huay Pong Lao             ,Ban Huay Pong Lao             ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,School Buses;Further Education Scholarships;WASH                         ,                   ,
zcrm_361303000000527034 ,zcrm_361303000000269001 ,       ,Ban Mae Sapei Nua             ,      ,    ,                  ,        ,              ,             ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/28/2021 12:25,10/20/2022 8:47,         ,              ,10/20/2022 8:47,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,zcrm_361303000000032035 ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,10/20/2022 8:47,                ,70,                         ,                                                   ,300,                          ,"Blankets, Mosquito Nets, Education                                                                                                                            ",                        ,                                                                                            ,                                         ,18.90522,97.85216,10/12/2003,50,                        ,zcrm_361303000000461057 ,99,25,101,      ,Khun Yuam         ,100,All Seasons         ,                               ,Mae Hong Son ,false            ,25,5,                     ,Khun Yuam             ,                        ,38,                    ,25,25,                            ,              ,                      ,                               ,                    ,                            ,                            ,                          ,"Ulcer, influenza                                                                                                       ",                            ,Prathom (Primary) ,zcrm_361303000000461057 ,                                   ,                                 ,                                   ,                                        ,                                                                                               ,                                   ,Yes                             ,                 ,                              ,No                            ,Government Water System               ,                             ,                            ,                                        ,                                ,Ban Mae Sapei Nua             ,Ban Mae Sapei Nua             ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,School Buses;WASH                                                        ,                   ,
zcrm_361303000000527035 ,zcrm_361303000000269001 ,       ,Ban Mae Sapei Tai             ,      ,    ,                  ,        ,              ,Mooban       ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/28/2021 12:25,10/20/2022 8:49,         ,              ,10/20/2022 8:49,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,zcrm_361303000000032035 ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,10/20/2022 8:49,                ,88,                         ,                                                   ,395,                          ,"Education Scholarship, Blankets,  Mosquito Nets, Latrine, school transport                                                                                    ",                        ,FALSE                                                                                       ,                                         ,18.9324,97.86873,4/20/2010,40,zcrm_361303000000461057 ,zcrm_361303000000461057 ,114,14,146,      ,Khun Yuam         ,135,All Seasons         ,                               ,Mae Hong Son ,false            ,14,5,                     ,Ban Mae Su Rin        ,                        ,10,                    ,12,104,                            ,              ,                      ,                               ,                    ,15,                            ,14,                                                                                                                         ,                            ,Prathom (Primary) ,zcrm_361303000000461057 ,                                   ,                                 ,                                   ,                                        ,                                                                                               ,                                   ,Yes                             ,                 ,                              ,No                            ,Government Water System               ,                             ,                            ,                                        ,                                ,Ban Mae Sapei Tai             ,Ban Mae Sapei Tai             ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,School Buses;Further Education Scholarships;WASH                         ,                   ,
zcrm_361303000000527036 ,zcrm_361303000000269001 ,       ,Ban Mae Oompai Tai            ,      ,    ,                  ,        ,              ,Mooban       ,          ,         ,          ,               ,         ,zcrm_361303000000269001 ,zcrm_361303000000269001 ,10/28/2021 12:25,12/29/2022 10:58,         ,              ,12/29/2022 10:58,               ,                ,             ,              ,                 ,                  ,             ,              ,                ,                 ,            ,zcrm_361303000000032035 ,0,             ,0,0,0,0,0,0,    ,              ,7/25/2022 11:20,                             ,                           ,12/29/2022 10:58,                ,88,                         ,                                                   ,397,1/13/2017,"Blankets, Mosquito Nets, Education                                                                                                                            ",                        ,                                                                                            ,                                         ,18.75611,98.03743,10/15/2002,20,zcrm_361303000000401954 ,zcrm_361303000000401954 ,                       ,54,            ,      ,Mae La Noi        ,              ,Dry Season          ,                               ,Mae Hong Son ,false            ,54,11,                     ,Ban Mae To            ,                        ,7,                    ,3,25,                            ,              ,                      ,                               ,                    ,                            ,                            ,                          ,"Flu, Stomach ache, Headache                                                                                            ",zcrm_361303000001881154     ,No Schools        ,zcrm_361303000000401954 ,                                   ,                                 ,                                   ,                                        ,                                                                                               ,                                   ,Yes                             ,                 ,                              ,No                            ,Government Water System               ,                             ,                            ,                                        ,                                ,Ban Mae Oompai Tai            ,Ban Mae Oompai Tai            ,                                  ,                                       ,                                                          ,                                        ,                                                 ,                                               ,false  ,Irrigation;School Buses;WASH                                             ,                   ,
