school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนบ้านปางแปก,ทางหลวงแผ่นดินหมายเลข1095,ตำบลแม่นาเติง,อำเภอปาย,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านปางแปก ทางหลวงแผ่นดินหมายเลข1095 ตำบลแม่นาเติง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.43558002, 98.34875090
โรงเรียนบ้านป่าลาน,ถนนอบจ.,มส.,3015,ตำบลห้วยโป่ง,โรงเรียนบ้านป่าลาน ถนนอบจ. มส. 3015 ตำบลห้วยโป่ง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.08659802, 97.93159923
โรงเรียนบ้านปางบอนวัฒนาคาร,ตำบลนาปู่ป้อม,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,58150,โรงเรียนบ้านปางบอนวัฒนาคาร ตำบลนาปู่ป้อม อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.68640936, 98.13581784
โรงเรียนบ้านป่ายาง,ตำบลแม่นาเติง,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านป่ายาง ตำบลแม่นาเติง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.39599800, 98.38686569
โรงเรียนบ้านปางปึงราษฎร์บำรุง,ตำบลทุ่งยาว,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านปางปึงราษฎร์บำรุง ตำบลทุ่งยาว อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.31042010, 98.27484148
โรงเรียนบ้านโป่งสา,ตำบลโป่งสา,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านโป่งสา ตำบลโป่งสา อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.09254233, 98.57022452
โรงเรียนบ้านผามอน,ตำบลถ้ำลอด,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,58150,โรงเรียนบ้านผามอน ตำบลถ้ำลอด อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.53021759, 98.29883991
โรงเรียนบ้านแพมบก,ตำบลทุ่งยาว,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านแพมบก ตำบลทุ่งยาว อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.32502083, 98.39360334
โรงเรียนบ้านผาสำราญ,ตำบลเมืองแปง,อำเภอปาย,จังหวัดแม่ฮ่องสอน,58130,โรงเรียนบ้านผาสำราญ ตำบลเมืองแปง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.22660085, 98.33169774
โรงเรียนบ้านพัฒนา,ทางหลวงแผ่นดินหมายเลข1263,ตำบลแม่อูคอ,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านพัฒนา ทางหลวงแผ่นดินหมายเลข1263 ตำบลแม่อูคอ อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.84209695, 97.99695801
