record_id,town/district_name,created_time
zcrm_361303000000401941,Mae Na Jang,2021-09-22 17:33:58
zcrm_361303000000401954,Mae La Noi,2021-09-22 17:34:13
zcrm_361303000000401970,Ban Mae Na Jang Tai,2021-09-22 17:36:05
zcrm_361303000000401980,Ban Mae Kheed,2021-09-22 17:36:28
zcrm_361303000000461047,Mae U-Khor,2021-09-27 10:33:00
zcrm_361303000000461057,Khun Yuam,2021-09-27 10:40:14
zcrm_361303000000461077,Khun Yuam Wittaya,2021-09-27 10:41:32
zcrm_361303000000461087,Ban Kham Suk,2021-09-27 10:41:40
zcrm_361303000000521090,Mae Sariang,2021-10-27 14:43:03
zcrm_361303000000521157,Sang Waln Wittaya,2021-10-27 14:47:26
zcrm_361303000000521194,Ban Mae Ho,2021-10-27 14:49:13
zcrm_361303000000522050,Ban Huay Peung Mai,2021-10-28 11:22:10
zcrm_361303000000528033,Ban Huay San,2021-10-28 12:32:09
zcrm_361303000000528034,Ban Mae Khi,2021-10-28 12:32:09
zcrm_361303000000528035,Ban Mae Sapei Tai,2021-10-28 12:32:09
zcrm_361303000000528036,Ban Mae Tho,2021-10-28 12:32:09
zcrm_361303000000528037,Ban Pha Larn,2021-10-28 12:32:09
zcrm_361303000000528038,Mae La Noi Duransik,2021-10-28 12:32:09
zcrm_361303000000528039,Ban Huay Pueng Mai,2021-10-28 12:32:09
zcrm_361303000000528040,Ban Mae La Pa Wai,2021-10-28 12:32:09
zcrm_361303000000528041,Ban Mae Tho Tai,2021-10-28 12:32:09
zcrm_361303000000528042,Mae Sariang Vocational College,2021-10-28 12:32:09
zcrm_361303000000528044,Chiang Rai Rajaphat University,2021-10-28 12:32:09
zcrm_361303000000528045,Mae Hong Son Rajaphat University,2021-10-28 12:32:09
zcrm_361303000000528046,Burapha University,2021-10-28 12:32:09
zcrm_361303000000528047,Ban Mae oom Pai,2021-10-28 12:32:09
zcrm_361303000000528048,Chaing Mai Rajaphat University,2021-10-28 12:32:09
zcrm_361303000000528049,Chiang Mai Technical College,2021-10-28 12:32:09
zcrm_361303000000528050,Lampang Rajabhat University,2021-10-28 12:32:09
zcrm_361303000000528051,Mahamakut Ratchawittayalai University,2021-10-28 12:32:09
zcrm_361303000000528052,Chomthong Industrial and Community Education College,2021-10-28 12:32:09
zcrm_361303000000528053,Ban Mae Oompai Nua,2021-10-28 12:32:09
zcrm_361303000000528054,Ban Mae Yuam Luang,2021-10-28 12:32:09
