ชื่อหน่วยงาน,จังหวัด,อำเภอ,ตำบล,FormattedAddress,gps_latitude,gps_longitude
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง ตำบลห้วยปูลิง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.15415583, 98.11804721
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่สุริน ทางหลวงแผ่นดินหมายเลข108 ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.91706106, 97.94332377
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเมืองปอน ตำบลเมืองปอน ถนนรพช. มส. 5060 ตำบลเมืองปอน อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.74743023, 97.93455146
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหนองขาวกลาง ตำบลห้วยปูลิง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.22974393, 98.11251377
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ลาก๊ะ ตำบลเมืองปอน ตำบลเมืองปอน อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.68254714, 97.99568737
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านหัวปอน ตำบลแม่ยวมน้อย ที่ทำการองค์การบริหารส่วนตำบลแม่ยวมน้อย ตำบลแม่ยวมน้อย อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.78721240, 98.05258199
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านท่าหินส้ม ทางหลวงแผ่นดินหมายเลข108 ตำบลเมืองปอน อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.65787213, 97.92898456
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเวียงเหนือ ตำบลเวียงเหนือ ซอยศรีดอนชัย 4  ตำบลเวียงเหนือ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.37799912, 98.44597506
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่กิ๊ โรงเรียนบ้านแม่กิ๊ ทางหลวงแผ่นดินหมายเลข1337 ตำบลแม่กิ๊ อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.64808891, 97.85172713
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสาม ตำบลห้วยห้อม อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.38569664, 98.12509249
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลสล่าเชียงตอง ตำบลเสาหิน อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.52282450, 97.67618781
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเมืองน้อย ตำบลเวียงเหนือ ตำบลเวียงเหนือ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.51185296, 98.51452963
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลช่างหม้อ ทางหลวงแผ่นดินหมายเลข1270 ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.30752760, 98.15318089
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่สุ ทางหลวงชนบทมส. 3008 ตำบลแม่ลาหลวง อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.47840046, 97.91312234
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ลาป่าแก่ ตำบลขุนแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.57407866, 98.17432836
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลกึ๊ดสามสิบ ตำบลสบป่อง อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.44319517, 98.17661506
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านกอกหลวง ตำบลแม่นาจาง ตำบลแม่นาจาง อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.52962549, 98.13828708
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบล ตำบลแม่ปาง ถนนอบต. ตำบลสันติคีรี อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.46276351, 97.94775139
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่สามแลบ ตำบลแม่สามแลบ ทางหลวงแผ่นดินหมายเลข1194 ตำบลแม่สามแลบ อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.98161999, 97.73904706
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านเลโคะ ตำบลสบเมย ทางหลวงชนบทมส. 3004 ตำบลสบเมย อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.84077246, 97.84602930
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลปางมะผ้า ทางหลวงแผ่นดินหมายเลข1095 ตำบลสบป่อง อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.52447090, 98.24251452
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลขุนยวม ซอยเทศบาล 29  ตำบลขุนยวม อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.83054603, 97.93712512
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน,ต.ห้วยปูลิง,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ละนา ทางหลวงแผ่นดินหมายเลข1226 ตำบลปางมะผ้า อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.59295112, 98.21708469
