hospital_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงพยาบาลส่งเสริมสุขภาพตำบล,ตำบลแม่ลาหลวง,ทางหลวงแผ่นดินหมายเลข108,ตำบลแม่ลาหลวง,อำเภอแม่ลาน้อย,โรงพยาบาลส่งเสริมสุขภาพตำบล ตำบลแม่ลาหลวง ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่ลาหลวง อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.52841225, 97.93455164
โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำฮูผาเสื่อ,ตำบลนาปู่ป้อม,อำเภอปางมะผ้า,จังหวัดแม่ฮ่องสอน,58150,โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำฮูผาเสื่อ ตำบลนาปู่ป้อม อำเภอปางมะผ้า จังหวัดแม่ฮ่องสอน 58150,19.61880471, 98.14642539
โรงพยาบาลส่งเสริมสุขภาพตำบลต่อแพ,ทางหลวงชนบทมส.,3007,ตำบลแม่เงา,อำเภอขุนยวม,โรงพยาบาลส่งเสริมสุขภาพตำบลต่อแพ ทางหลวงชนบทมส. 3007 ตำบลแม่เงา อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.80555811, 97.90521094
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำกัด,ตำบลห้วยผา,ทางหลวงแผ่นดินหมายเลข1095,ตำบลห้วยผา,อำเภอเมืองแม่ฮ่องสอน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านน้ำกัด ตำบลห้วยผา ทางหลวงแผ่นดินหมายเลข1095 ตำบลห้วยผา อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.51127754, 98.07997467
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่แจ๊ะ,ตำบลแม่ยวมน้อย,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่แจ๊ะ ตำบลแม่ยวมน้อย อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.74149119, 98.02184827
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยนา,ตำบลแม่เงา,อำเภอขุนยวม,จังหวัดแม่ฮ่องสอน,58140,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านห้วยนา ตำบลแม่เงา อำเภอขุนยวม จังหวัดแม่ฮ่องสอน 58140,18.84908077, 97.80554767
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ริดป่าแก่,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ริดป่าแก่ ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.18582132, 98.12294484
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพซอ,ตำบลเสาหิน,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านโพซอ ตำบลเสาหิน อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.34518426, 97.69110540
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ต้อบเหนือ,ตำบลบ้านกาศ,ถนนอบจ.,มส.,4044,โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ต้อบเหนือ ตำบลบ้านกาศ ถนนอบจ. มส. 4044 ตำบลบ้านกาศ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.26250796, 97.89881513
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ปิง,ตำบลแม่ฮี้,ถนนรพช.,มส.,4029,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ปิง ตำบลแม่ฮี้ ถนนรพช. มส. 4029 ตำบลแม่ฮี้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.28603507, 98.46818008
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ฮี้,ตำบลแม่ฮี้,ถนนหมู่บ้านแม่ฮี้,ตำบลแม่ฮี้,อำเภอปาย,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ฮี้ ตำบลแม่ฮี้ ถนนหมู่บ้านแม่ฮี้ ตำบลแม่ฮี้ อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.34227744, 98.44983575
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านรักไทย,ทางหลวงชนบทมส.,4001,ตำบลหมอกจำแป่,อำเภอเมืองแม่ฮ่องสอน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านรักไทย ทางหลวงชนบทมส. 4001 ตำบลหมอกจำแป่ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.58437964, 97.94426357
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาปลาจาด,ตำบลห้วยผา,ทางหลวงแผ่นดินหมายเลข1285,ตำบลห้วยผา,อำเภอเมืองแม่ฮ่องสอน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาปลาจาด ตำบลห้วยผา ทางหลวงแผ่นดินหมายเลข1285 ตำบลห้วยผา อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.51159382, 98.00072176
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาป่าแปก,ทางหลวงชนบทมส.,4001,ตำบลหมอกจำแป่,อำเภอเมืองแม่ฮ่องสอน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านนาป่าแปก ทางหลวงชนบทมส. 4001 ตำบลหมอกจำแป่ อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.53320581, 97.92796623
โรงพยาบาลแม่ลาน้อย,ทางหลวงแผ่นดินหมายเลข108,ตำบลแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,โรงพยาบาลแม่ลาน้อย ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.37998971, 97.94300253
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแพมบก,ตำบลทุ่งยาว,ตำบลทุ่งยาว,อำเภอปาย,จังหวัดแม่ฮ่องสอน,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแพมบก ตำบลทุ่งยาว ตำบลทุ่งยาว อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.32599462, 98.39247022
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ของ,ตำบลแม่นาเติง,ถนนรพช.,มส.,4034,โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านแม่ของ ตำบลแม่นาเติง ถนนรพช. มส. 4034 ตำบลแม่นาเติง อำเภอปาย จังหวัดแม่ฮ่องสอน 58130,19.38575884, 98.43942758
สถานบริการสาธารณสุขชุมชนบ้านห้วยตอง,ถนนอบต.,ชม.,บ้านวัดจันทร์-บ้านห้วยตอง,ตำบลห้วยปูลิง,สถานบริการสาธารณสุขชุมชนบ้านห้วยตอง ถนนอบต. ชม. บ้านวัดจันทร์-บ้านห้วยตอง ตำบลห้วยปูลิง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.09886419, 98.23349410
สถานบริการสาธารณสุขชุมชนบ้านหนองเขียว,ตำบลห้วยโป่ง,อำเภอเมืองแม่ฮ่องสอน,จังหวัดแม่ฮ่องสอน,58000,สถานบริการสาธารณสุขชุมชนบ้านหนองเขียว ตำบลห้วยโป่ง อำเภอเมืองแม่ฮ่องสอน จังหวัดแม่ฮ่องสอน 58000,19.02085299, 98.06839355
