ชื่อหน่วยงาน,จังหวัด,อำเภอ,ตำบล
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยปูลิง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยปูลิง
โรงพยาบาลส่งเสริมสุขภาพตำบลหนองขาวกลาง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ห้วยปูลิง, 19.22974393,98.11251377
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่สุริน,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.ขุนยวม
โรงพยาบาลส่งเสริมสุขภาพตำบลเมืองปอน,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.เมืองปอน
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ลาก๊ะ,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.เมืองปอน
โรงพยาบาลส่งเสริมสุขภาพตำบลท่าหินส้ม,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.เมืองปอน
โรงพยาบาลส่งเสริมสุขภาพตำบลหัวปอน,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.แม่ยวมน้อย
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่กิ๊,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.แม่กิ๊
โรงพยาบาลส่งเสริมสุขภาพตำบลเวียงเหนือ,จ.แม่ฮ่องสอน,อ.ปาย, ต.เวียงเหนือ
โรงพยาบาลส่งเสริมสุขภาพตำบลเมืองน้อย,จ.แม่ฮ่องสอน,อ.ปาย, ต.เวียงเหนือ
โรงพยาบาลส่งเสริมสุขภาพตำบลสล่าเชียงตอง,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.เสาหิน
โรงพยาบาลส่งเสริมสุขภาพตำบลช่างหม้อ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.ป่าแป๋
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่สุ,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่ลาหลวง
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านสาม,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.ห้วยห้อม
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ปาง,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.สันติคีรี
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ลาป่าแก่,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.ขุนแม่ลาน้อย
โรงพยาบาลส่งเสริมสุขภาพตำบลสบเมย,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สามแลบ
โรงพยาบาลส่งเสริมสุขภาพตำบลกึ๊ดสามสิบ,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.สบป่อง
โรงพยาบาลส่งเสริมสุขภาพตำบลกอกหลวง,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่นาจาง
โรงพยาบาลส่งเสริมสุขภาพตำบลเลโค๊ะ,จ.แม่ฮ่องสอน,อ.สบเมย, ต.สบเมย
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่ละนา,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.ปางมะผ้า
โรงพยาบาลขุนยวม,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.ขุนยวม
โรงพยาบาลปางมะผ้า,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.สบป่อง
โรงพยาบาลส่งเสริมสุขภาพตำบลผาบ่อง,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ผาบ่อง
โรงพยาบาลส่งเสริมสุขภาพตำบลม่วงสร้อย,จ.แม่ฮ่องสอน,อ.ปาย, ต.แม่นาเติง
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่สามแลบ,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่สามแลบ
โรงพยาบาลส่งเสริมสุขภาพตำบลปางหมู,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ปางหมู
โรงพยาบาลส่งเสริมสุขภาพตำบลกุงไม้สัก,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.ปางหมู
โรงพยาบาลส่งเสริมสุขภาพตำบลหมอกจำแป่,จ.แม่ฮ่องสอน,อ.เมืองแม่ฮ่องสอน, ต.หมอกจำแป่
โรงพยาบาลส่งเสริมสุขภาพตำบลปางตอง,จ.แม่ฮ่องสอน,อ.ขุนยวม, ต.แม่อูคอ
โรงพยาบาลส่งเสริมสุขภาพตำบลโป่งสา,จ.แม่ฮ่องสอน,อ.ปาย, ต.โป่งสา
โรงพยาบาลส่งเสริมสุขภาพตำบลสบหาร,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.บ้านกาศ
โรงพยาบาลส่งเสริมสุขภาพตำบลทุ่งแล้ง,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่คง
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่เหาะ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่เหาะ
โรงพยาบาลส่งเสริมสุขภาพตำบลน้ำดิบ,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่ยวม
โรงพยาบาลส่งเสริมสุขภาพตำบลห้วยสิงห์,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.แม่ยวม
โรงพยาบาลส่งเสริมสุขภาพตำบลป่าแป๋,จ.แม่ฮ่องสอน,อ.แม่สะเรียง, ต.ป่าแป๋
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่เตี๋ย,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.ท่าผาปุ้ม
โรงพยาบาลส่งเสริมสุขภาพตำบลแม่โถ,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.แม่โถ
โรงพยาบาลส่งเสริมสุขภาพตำบลละอูบ,จ.แม่ฮ่องสอน,อ.แม่ลาน้อย, ต.ห้วยห้อม
โรงพยาบาลส่งเสริมสุขภาพตำบลบ้านผาผ่า,จ.แม่ฮ่องสอน,อ.สบเมย, ต.แม่คะตวน
โรงพยาบาลส่งเสริมสุขภาพตำบลกองแปเหนือ,จ.แม่ฮ่องสอน,อ.สบเมย, ต.ป่าโปง
โรงพยาบาลส่งเสริมสุขภาพตำบลถ้ำลอด,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.ถ้ำลอด
โรงพยาบาลส่งเสริมสุขภาพตำบลนาปู่ป้อม,จ.แม่ฮ่องสอน,อ.ปางมะผ้า, ต.นาปู่ป้อม
โรงพยาบาลปาย,จ.แม่ฮ่องสอน,อ.ปาย, ต.เวียงใต้
