school_name,province,district,sub_district,postal_code,formatted_address,gps_latitude,gps_longitude
โรงเรียนบ้านห้วยฮากไม้เหนือ,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านห้วยฮากไม้เหนือ ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.30079861, 98.07712508
โรงเรียนบ้านอุมดาใต้,ตำบลแม่คะตวน,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านอุมดาใต้ ตำบลแม่คะตวน อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.96914349, 98.00295153
โรงเรียนบ้านอมพาย,ทางหลวงแผ่นดินหมายเลข1270,ตำบลป่าแป๋,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านอมพาย ทางหลวงแผ่นดินหมายเลข1270 ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.29675023, 98.17115770
โรงเรียนบ้านหัวแม่โถ,ตำบลแม่โถ,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนบ้านหัวแม่โถ ตำบลแม่โถ อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.64755283, 98.06685528
โรงเรียนบ้านหัวลา,ถนนอบต.,ตำบลสันติคีรี,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,โรงเรียนบ้านหัวลา ถนนอบต. ตำบลสันติคีรี อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.54515141, 97.95937358
โรงเรียนบ้านอุมโละเหนือ,ตำบลแม่สวด,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านอุมโละเหนือ ตำบลแม่สวด อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.69293435, 98.07061070
โรงเรียนรัตนประทีปวิทยา,ทางหลวงชนบทมส.,3010,ตำบลป่าแป๋,อำเภอแม่สะเรียง,โรงเรียนรัตนประทีปวิทยา ทางหลวงชนบทมส. 3010 ตำบลป่าแป๋ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.21211917, 98.03435696
โรงเรียนล่องแพวิทยา,ตำบลแม่สวด,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนล่องแพวิทยา ตำบลแม่สวด อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.67679321, 98.04338379
โรงเรียนบ้านอุมดาเหนือ,ตำบลแม่คะตวน,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนบ้านอุมดาเหนือ ตำบลแม่คะตวน อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.99570259, 97.99158788
โรงเรียนเพียงหลวง,11,ตำบลเสาหิน,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนเพียงหลวง 11 ตำบลเสาหิน อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.41533812, 97.66636227
โรงเรียนสังวาลย์วิทยา,ทางหลวงแผ่นดินหมายเลข108,ตำบลแม่เหาะ,อำเภอแม่สะเรียง,จังหวัดแม่ฮ่องสอน,โรงเรียนสังวาลย์วิทยา ทางหลวงแผ่นดินหมายเลข108 ตำบลแม่เหาะ อำเภอแม่สะเรียง จังหวัดแม่ฮ่องสอน 58110,18.15379387, 98.07084077
โรงเรียนอนุบาลแม่ลาน้อย,ถนนเทศบาลตำบลแม่ลาน้อย,ตำบลแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,โรงเรียนอนุบาลแม่ลาน้อย ถนนเทศบาลตำบลแม่ลาน้อย ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.38235322, 97.93607752
โรงเรียนล่องแพวิทยา,ตำบลแม่สวด,อำเภอสบเมย,จังหวัดแม่ฮ่องสอน,58110,โรงเรียนล่องแพวิทยา ตำบลแม่สวด อำเภอสบเมย จังหวัดแม่ฮ่องสอน 58110,17.67679321, 98.04338379
โรงเรียนลุ่มน้ำวิทยา,ตำบลแม่ลาน้อย,อำเภอแม่ลาน้อย,จังหวัดแม่ฮ่องสอน,58120,โรงเรียนลุ่มน้ำวิทยา ตำบลแม่ลาน้อย อำเภอแม่ลาน้อย จังหวัดแม่ฮ่องสอน 58120,18.42568815, 97.88148663
