โรงเรียน,ตำบล,อำเภอ,ระดับชั้น
โรงเรียนขุนยวม,ขุนยวม,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอขุนยวม[#1],ขุนยวม,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอปางมะผ้า[#2],สบป่อง,ปางมะผ้า,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอปาย[#3],แม่นาเติง,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนเขตพื้นที่การศึกษาอำเภอเมืองแม่ฮ่องสอน[#4],จองคำ,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนต่อแพวิทยา,แม่เงา,ขุนยวม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านปางหมู,ปางหมู,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านผาบ่อง,ผาบ่อง,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านเมืองปอน,เมืองปอน,ขุนยวม,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนชุมชนบ้านแม่ฮี้,แม่ฮี้,ปาย,อนุบาล–ประถมศึกษา
โรงเรียนชุมชนบ้านหมอกจำแป่,หมอกจำแป่,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียน ตชด. บำรุงที่ 60,แม่เงา,ขุนยวม,อนุบาล–ประถมศึกษา
โรงเรียนไทยรัฐวิทยา 99 (บ้านแม่สุยะ),ห้วยผา,เมืองแม่ฮ่องสอน,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านกลาง,ห้วยโป่ง,เมืองแม่ฮ่องสอน,อนุบาล–ประถมศึกษา
โรงเรียนบ้านกึ๊ดสามสิบ,สบป่อง,ปางมะผ้า,อนุบาล–มัธยมศึกษาตอนต้น
