โรงเรียนบ้านแม่เกาะวิทยา,แม่คะตวน,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ขีด,แม่นาจาง,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่คะตวน,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่แคะ,แม่สามแลบ,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่งะ,แม่ลาน้อย,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่เงา,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่เงา สาขาบ้านกองอูม,แม่สวด,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่จอ,แม่โถ,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่จ๊าง,แม่เหาะ,แม่สะเรียง,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่จ๊าง สาขาบ้านดงหลวง-ดงน้อย,แม่เหาะ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ต้อบใต้,บ้านกาศ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ต้อบเหนือ,บ้านกาศ,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ตอละ,แม่สามแลบ,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่เตี๋ย,ท่าผาปุ้ม,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่โถ,แม่โถ,แม่ลาน้อย,อนุบาล–มัธยมศึกษาตอนต้น
โรงเรียนบ้านแม่โถใต้,แม่โถ,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ทะลุ,สบเมย,สบเมย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่นาจาง,แม่นาจาง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่นาจางเหนือ,แม่นาจาง,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ปอถ่า,ท่าผาปุ้ม,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ปาง,สันติคีรี,แม่ลาน้อย,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่ปุ่น,ป่าแป๋,แม่สะเรียง,อนุบาล–ประถมศึกษา
โรงเรียนบ้านแม่แพ,กองก๋อย,สบเมย,อนุบาล–ประถมศึกษา
