"id","village_name","created_time","households","road_conditions","total_population","gps_latitude","gps_longitude","population_without_enough_rice","children_aged_0_18","distance_to_town_km","adult_males","adult_females","distance_to_hospital_km","nearest_health_centre","distance_to_pratom_km","annual_typhoid_cases","distance_to_health_centre_km","distance_to_mathayom_km","common_diseases","hosted_kht_projects","record_id","village_name_th","nearby_node","geom"
"64b426d3-9356-4191-90d3-ba1f675caf7e","Ban Mae Kong Pae","9/22/2021 15:52",53,"Average (some paved road. some potholes)",250,"18.565066","98.116619",60,NULL,58,130,120,58,"Ban Kok Luang",5,2,11,4,"Flu","Irrigation;WASH","zcrm_361303000000383834","บ้านแม่กองแป",3151,"0101000020E6100000E7C589AF76875840E014562AA8903240"
"11ebb522-6d94-4946-9630-b453cc2088d7","Ban Mae Yuam Noi","9/24/2021 16:34",30,"Good (paved roads. few potholes)",118,"18.8184","98.05048",50,29,16,43,46,16,"Ban Pong Tong",1,3,5,16,"Ulcer. Flu","WASH","zcrm_361303000000461001","บ้านแม่ยวมน้อย",239,"0101000020E6100000884677103B835840E10B93A982D13240"
"a1784970-6156-47e4-bfe2-8a86a2485451","Ban Mae Ho Klang","2021-10-27 14:25:02",33,"Very Good (paved roads)",153,"18.133738","98.078612",40,24,20,68,61,20,"Ban Mae Ho",2,1,2,2,"Ulcer & Flu","WASH","zcrm_361303000000521001","บ้านแม่โฮ้กลาง",2839,"0101000020E6100000AF44A0FA07855840823B50A73C223240"
"9df10530-2c47-494a-b9d6-298fe295f8d8","Ban Huay Pong Lao","2021-10-28 12:25:05",46,"-",231,"18.61241","97.8565",40,80,40,73,78,40,"Ban Mae Ki",9,1,9,40,"Flu and Ulcer","School Buses;Further Education Scholarships;WASH","zcrm_361303000000527033","บ้านห้วยพงลาว",2971,"0101000020E6100000894160E5D07658404DBED9E6C69C3240"
"28e5a2bd-599a-48d9-9152-f54b7246d438","Ban Mae Sapei Nua","2021-10-28 12:25:05",70,"-",300,"18.90522","97.85216",50,99,25,101,100,25,"Khun Yuam",-1,38,25,-1,"Ulcer. influenza","School Buses;WASH","zcrm_361303000000527034","บ้านแม่สะเป่เหนือ",884,"0101000020E610000066BD18CA8976584064AF777FBCE73240"
"2e6bd2ec-3ff2-49f9-b209-fe57630bec9c","Ban Mae Sapei Tai","2021-10-28 12:25:05",88,"-",395,"18.9324","97.86873",40,114,14,146,135,14,"Ban Mae Su Rin",-1,10,12,14,NULL,"School Buses;Further Education Scholarships;WASH","zcrm_361303000000527035","-",3809,"0101000020E610000076C3B6459977584058CA32C4B1EE3240"
"d2858945-fd3e-4b96-b5e6-6c542bb94af8","Ban Mae Oompai Tai","2021-10-28 12:25:05",88,"-",397,"18.75611","98.03743",20,-1,54,-1,-1,54,"Ban Mae To",-1,7,3,-1,"Flu. Stomach ache. Headache","School Buses;Irrigation;WASH","zcrm_361303000000527036","บ้านแม่อุ้มปายใต้",5804,"0101000020E6100000EA78CC4065825840B62DCA6C90C13240"
"9a989e1f-c75c-4381-8217-50b47477e4ff","Ban Huay Pong Karn","2021-10-28 12:25:05",37,"Very Good (paved roads)",132,"19.11397","97.97173",60,35,30,46,51,30,"Huay Pong",11,-1,8,-1,"Flu","School Buses;Further Education Scholarships;WASH","zcrm_361303000000527037","บ้านห้วยโป่งกาน",3797,"0101000020E6100000B1A206D3307E5840A1B94E232D1D3340"
"973580ec-06c3-4387-af00-bb50be0e7bf7","Ban Kham Suk","2021-10-28 12:25:05",11,"-",84,"18.82074","98.0462",30,37,14,23,24,14,"Khun Yuam",-1,2,14,-1,NULL,"School Buses;Further Education Scholarships;WASH","zcrm_361303000000527039","บ้านคำสุข",2881,"0101000020E6100000D044D8F0F4825840E08442041CD23240"
"b8f500e3-3dde-4a10-9af8-880151712c4a","Ban Pattana Poo Koo","2021-10-28 12:25:05",80,"Very Good (paved roads)",305,"18.923076","97.869539",60,-1,7,153,152,7,"Ban Pang Tong",0,-1,10,7,"Flu","School Buses;Irrigation;Further Education Scholarships","zcrm_361303000000527041","บ้านพัฒนาปูกู้",886,"0101000020E61000002EE6E786A6775840F5B86FB54EEC3240"
"3f977cd6-5e90-437a-be6e-f1c5058668a9","Ban Huay Ku Pa","2021-10-28 12:25:05",33,"-",126,"18.54035","97.89712",50,49,26,-1,-1,26,"Ban Mae La Luang",-1,-1,6,6,NULL,"School Buses;Further Education Scholarships;WASH","zcrm_361303000000527042","บ้านห้วยกูป๊ะ",2318,"0101000020E61000009A25016A6A795840C364AA60548A3240"
"b696269d-fae9-4559-a596-7570844744cc","Ban Huay Kai Pa","2021-10-28 12:25:05",113,"-",539,"18.9509","97.79007",40,160,22,191,188,22,"Ban Mae Su",-1,-1,5,12,"Flu. Ulcer and headache","School Buses;School Meals;Further Education Scholarships;WASH","zcrm_361303000000527047","บ้านห้วยไก่ป่า",887,"0101000020E61000003FE3C2819072584033C4B12E6EF33240"
"cd3920fe-9ec9-4f85-9bba-e022f11a762f","Ban Huay San","2021-10-28 12:25:05",21,"-",109,"18.68857","97.83369",40,44,40,33,32,40,"Ban Mae Ki",-1,19,5,-1,"Flu. Ulcer. blood pressure. diarrhea","School Meals;WASH","zcrm_361303000000527050","บ้านห้วยสาน",2043,"0101000020E610000025404D2D5B755840B8019F1F46B03240"
"93fa5cd3-4094-4ddc-a855-69a54b860a54","Ban Mae Kheed","2021-10-28 12:25:05",118,"Average (some paved road. some potholes)",418,"18.52724","98.08081",40,-1,50,217,201,50,"Ban Kok Luang",0,-1,8,0,"Dengue fever","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000527051","บ้านแม่ขีด",3142,"0101000020E610000025CCB4FD2B8558409E245D33F9863240"
"e1c5961a-766c-4528-8876-8b22615d77a9","Ban Mae La Pa Wai","2021-10-28 12:25:05",22,"-",131,"18.57165","98.14273",40,60,80,61,64,80,"In the village",-1,-1,-1,-1,NULL,"School Meals;WASH","zcrm_361303000000527052","บ้านแม่ละป่าไหว",3867,"0101000020E61000001E8A027D2289584027C286A757923240"
"fe6381d5-a857-4bcf-b884-c922d6a0ee44","Ban Mae Tho Tai","2021-10-28 12:25:05",105,"-",312,"18.62961","97.99961",10,-1,-1,-1,-1,45,"Ban Mae To",-1,-1,6,-1,NULL,"Irrigation;School Buses;School Meals;Further Education Scholarships;WASH","zcrm_361303000000527054","บ้านแม่โถใต้",951,"0101000020E61000004BB0389CF97F58400C3CF71E2EA13240"
"371c5c3f-99d8-4e3d-bfff-70045e5f229a","Ban Pa Pong","2021-10-28 12:25:05",90,"-",371,"18.13999","98.16411",35,119,35,131,121,35,"Ban Huay Kung",-1,6,7,-1,"ulcer. high blood pressure. flu","Further Education Scholarships;WASH","zcrm_361303000000527056","บ้านป่าโปง",1028,"0101000020E610000094BC3AC7808A58405DC47762D6233240"
"dc156688-9038-4550-86c5-a0c675b7d330","Ban Na ngeiw","2021-10-28 12:25:05",30,"-",147,"19.09541","97.52298",50,60,11,37,50,11,"Khun Yuam",-1,-1,11,-1,NULL,"Further Education Scholarships;WASH","zcrm_361303000000527062","บ้านนางิ้ว",6182,"0101000020E6100000931D1B81786158401CB62DCA6C183340"
"52a7deef-86d1-4da2-8785-f0cfd3e33cc4","Ban Mae Poon","2021-10-28 12:25:05",83,"Average (some paved road. some potholes)",313,"18.25059","98.12688",40,83,47,110,120,47,"Ban Chang Maw",0,3,27,28,NULL,"Further Education Scholarships;WASH","zcrm_361303000000527065","บ้านแม่ปูน",1058,"0101000020E61000000EA14ACD1E88584063B48EAA26403240"
"6ab65c44-9da6-4242-9783-83e2a86e3ddd","Ban Ma Hing Luang","2021-10-28 12:25:05",72,"-",473,"18.682","98.04242",30,202,43,135,136,43,"Ban Mae La Ka",-1,18,7,-1,"Flu. Ulcer","Further Education Scholarships;WASH","zcrm_361303000000527071","บ้านมะหินหลวง",1996,"0101000020E6100000912C6002B78258403BDF4F8D97AE3240"
"4e837cad-0abc-47bb-9e21-24345791f2fe","Ban Huay Ma Ba","2021-10-28 16:47:15",38,"Average (some paved road. some potholes)",198,"18.56305","98.08861",60,-1,56,96,102,56,"Ban Khun Mae La Noi",6,-1,6,65,"Flu","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000534424","บ้านห้วยมาบา",3152,"0101000020E61000004F0647C9AB8558404703780B24903240"
"af7e2296-9738-46ec-b7f5-3344325cccaa","Ban Pa Maak","2021-11-01 13:07:27",100,"Very Good (paved roads)",350,"18.430025","97.879721",60,-1,1,170,180,1,"Mae La Noi",0,-1,1,1,"Flu","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000543001","บ้านป่าหมาก",3613,"0101000020E6100000AF264F594D78584060764F1E166E3240"
"e7b1d2b7-13be-4660-b5d6-63de9fc7a54e","Ban Mae Khi","2021-11-01 17:10:12",81,"-",396,"18.66254","97.85096",40,84,34,166,146,34,"In the village",-1,3,-1,34,"Flu and Ulcer","School Meals;Further Education Scholarships;WASH","zcrm_361303000000546098","บ้านแม่ขี่",522,"0101000020E6100000118DEE2076765840B64AB0389CA93240"
"b579d400-02ff-48cc-9d8b-5d4b67c8044d","Ban Mae Au (Mae Chaem)","2021-11-22 07:54:33",34,"Poor (not paved. lots of potholes)",113,"18.808386","98.252471",40,46,87,35,32,50,"Ban Pang Ung",6,10,23,87,"Cholera. Hepatisis A & parasites","WASH","zcrm_361303000000667001","บ้านแม่อู (แม่แจ่ม)",5087,"0101000020E61000000F0C207C28905840548B8862F2CE3240"
"a7cfd761-95c1-49b5-8545-27af40bb5a18","Ban Mae Yuam Luang","2021-11-26 04:07:54",19,"Very Good (paved roads)",87,"18.82872","97.917326",50,-1,12,47,40,12,"Ban Pang Tong",1,-1,4,12,"Flu","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000702001","บ้านแม่ยวมหลวง",1754,"0101000020E610000050711C78B57A5840878A71FE26D43240"
"956a7cfc-30b6-46cd-88bf-50763fff845f","Ban Huay Ton Noon","2021-11-26 04:33:45",150,"Very Good (paved roads)",565,"18.77794","97.75461",45,-1,25,275,290,25,"Ban Huay Ton Noon",0,-1,0,25,"Flu","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000702035","บ้านห้วยตองนุ่น",2986,"0101000020E610000003CFBD874B70584010406A1327C73240"
"f5eedbe7-32e1-45de-a761-5b187b2941df","Ban Ler Wa Day","2021-11-26 07:38:22",17,"Average (some paved road. some potholes)",105,"18.409533","97.705962",50,-1,70,51,54,70,"Ban Po Saw",3,-1,10,10,"Fllu","Irrigation","zcrm_361303000000707091","-",3091,"0101000020E6100000008E3D7B2E6D5840FDA19927D7683240"
"d1038471-647f-47b1-9b6b-522c705d53df","Ban Po Saw","2021-11-26 07:59:56",123,"Very Good (paved roads)",537,"18.346565","97.693357",50,-1,60,254,283,60,"Ban Po Saw",0,-1,0,0,"Flu","Irrigation;WASH","zcrm_361303000000707147","บ้านปอซอว",1068,"0101000020E6100000F9DC09F65F6C584030F0DC7BB8583240"
"08489927-675a-4855-b6d2-7216c23563d6","Ban Mae Lor","2021-11-26 08:24:13",45,"Average (some paved road. some potholes)",299,"18.43209","97.693",50,-1,73,137,162,73,"Ban Po Saw",0,-1,10,10,"Flu","Irrigation;WASH","zcrm_361303000000707181","บ้านแม่ลอร์",3091,"0101000020E61000003108AC1C5A6C5840BBED42739D6E3240"
"79f39825-dd7b-4c63-8f04-521993f43f81","Ban Huay Na","2021-11-26 08:50:08",125,"Very Good (paved roads)",486,"19.05218","98.35587",45,-1,25,242,244,25,"Ban Huay Na",0,1,0,25,"Stomach. Flu. Skin infection","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000707225","บ้านห้วยนา",2762,"0101000020E610000029E8F692C69658405A8121AB5B0D3340"
"ded95acc-9149-480a-84be-23468a4778b3","Ban Huay Pong","2021-11-28 05:32:07",35,"Average (some paved road. some potholes)",123,"18.585236","98.101672",50,-1,73,58,65,73,"Ban Po Saw",5,-1,13,13,"Flu","Irrigation;WASH","zcrm_361303000000716013","บ้านห้วยปง",3151,"0101000020E6100000CFBA46CB818658401D71C806D2953240"
"2387561b-37e6-4514-8d17-a12bc7fc62e1","Ban Nong Heang","2021-11-28 05:47:14",122,"Very Good (paved roads)",408,"18.63574","97.94905",55,-1,25,-1,-1,25,"Ban Muang Pon",0,-1,10,0,"Flu","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000716047","บ้านหนองเหง",889,"0101000020E61000003411363CBD7C584050C24CDBBFA23240"
"5d3228fb-3af6-457b-88b5-5bc7bed0fb2f","Ban Mae Jaa","2021-11-28 06:11:03",81,"Good (paved roads. few potholes)",335,"18.986531","97.989024",55,-1,35,178,157,35,"Ban Huay Pong",0,-1,3,35,"15 others affected by illnesses","Irrigation;Further Education Scholarships;WASH","zcrm_361303000000716116","บ้านแม่จ่า",3695,"0101000020E610000062BD512B4C7F58407C7DAD4B8DFC3240"
"2229d4a7-3177-4d0a-b60d-1ea6c7af8257","Ban Thung Pa Kha","3/9/2022 8:59",151,"Good (paved roads. few potholes)",420,"18.62569","97.95176",40,NULL,23,201,219,23,"Ban Mae Suk",3,NULL,3,23,"Dengue Fever: 2","School Buses;Irrigation;WASH","zcrm_361303000001197125","บ้านทุ่งป่าคา",889,"0101000020E61000000569C6A2E97C58402A6F47382DA03240"
"e125c4c7-b868-4961-af3f-9426ef3f45e0","Ban Nong Khao Nua","5/11/2022 8:38",25,"Good (paved roads. few potholes)",93,"19.236202","98.145748",50,20,45,34,39,45,"Ban Nong Khao Klong",12,2,5,12,"Parasites","WASH","zcrm_361303000001443001","-",2452,"0101000020E6100000465D6BEF53895840F23FF9BB773C3340"
