village_name,url,image_url,article_title,posted_date,created_time,sequence
Ban Huay Ma Ba,https://karenhilltribes.org.uk/new-irrigation-new-lives/,https://karenhilltribes.org.uk/wp-content/uploads/2023/10/MicrosoftTeams-image-2023-10-16T154041.797-1.jpg,"New Irrigation, New Lives",16/10/2023,15/03/2022,1
Ban Eh Vee Jo,https://karenhilltribes.org.uk/life-in-ban-eh-vee-jo-suthidas-story/,https://karenhilltribes.org.uk/wp-content/uploads/2023/09/MicrosoftTeams-image-2023-09-01T184803.783.jpg,Life in Ban Eh Vee Jo: Suthida's Story,1/9/2023,15/03/2022,1
Ban Eh Vee Jo,https://karenhilltribes.org.uk/a-journey-to-the-village-of-ban-eh-vee-jo/,https://karenhilltribes.org.uk/wp-content/uploads/2023/09/MicrosoftTeams-image-2023-09-19T125508.903.jpg,A Journey to the Village of Ban Eh Vee Jo,19/09/2023,15/03/2022,2
Ban Hauy Tong Ching,https://karenhilltribes.org.uk/improving-village-life-khts-wash-system-in-action/,https://karenhilltribes.org.uk/wp-content/uploads/2022/09/WhatsApp-Image-2022-09-19-at-9.11.34-AM-1.jpeg,Improving Village Life: KHT's WASH System in Action,21/09/2022,15/03/2022,1
Ban Huay Ha Mai,https://karenhilltribes.org.uk/how-does-livelihoods-training-help-farmers/,https://karenhilltribes.org.uk/wp-content/uploads/2024/02/MicrosoftTeams-image-2024-02-15T131125.458.jpg,extreme Weather Impacting the Lives of the Karen!,20/02/2024,15/03/2022,1
Ban Huay Ha Mai,https://karenhilltribes.org.uk/a-hardworking-mother-in-ban-huay-ha-mai/,https://karenhilltribes.org.uk/wp-content/uploads/2023/12/MicrosoftTeams-image-2023-12-20T080411.922-1.jpg,A Hardworking Mother in Ban Huay Ha Mai,22/12/2023,15/03/2022,2
Ban Huay Ha Mai,https://karenhilltribes.org.uk/visiting-villages-and-seeing-kht-in-action/,https://karenhilltribes.org.uk/wp-content/uploads/2023/12/MicrosoftTeams-image-2023-12-22T042201.310.jpg,Visiting Villages and Seeing KHT in Action,25/12/2023,15/03/2022,3
Ban Huay Kong Paw,https://karenhilltribes.org.uk/visiting-villages-and-seeing-kht-in-action/,https://karenhilltribes.org.uk/wp-content/uploads/2023/12/MicrosoftTeams-image-2023-12-22T042201.310.jpg,Visiting Villages and Seeing KHT in Action,25/12/2023,15/03/2022,1
Ban Huay Mai Dam,https://karenhilltribes.org.uk/april-in-pictures-out-and-about-in-mae-hong-son/,https://karenhilltribes.org.uk/wp-content/uploads/2023/05/MicrosoftTeams-image-2023-05-03T054805.476.jpg,April in Pictures: Out and About in Mae Hong Son!,3/5/2023,15/03/2022,1
Ban Huay Mai Dam,https://karenhilltribes.org.uk/making-life-better-in-ban-huay-mai-dam/,https://karenhilltribes.org.uk/wp-content/uploads/2023/03/MicrosoftTeams-image-2023-03-14T142725.730.jpg,Making Life Better in Ban Huay Mai Dam,14/03/2023,15/03/2022,2
Ban Huay Pla Kang,https://karenhilltribes.org.uk/a-day-in-the-life-khts-me-officer/,https://karenhilltribes.org.uk/wp-content/uploads/2022/09/WhatsApp-Image-2022-09-23-at-5.42.27-AM.jpeg,A Day in the Life: KHT's M&E Officer,29/09/2022,15/03/2022,1
Ban Huay Pong,https://karenhilltribes.org.uk/kht-2021-irrigation-me-report/,,KHT 2021 Irrigation M&E Report,20/03/2022,15/03/2022,1
Ban Huay Pong,https://karenhilltribes.org.uk/improving-livelihoods-and-banishing-hunger/,https://karenhilltribes.org.uk/wp-content/uploads/2023/10/MicrosoftTeams-image-2023-10-18T122508.326.jpg,Improving Livelihoods and Banishing Hunger,20/10/2023,15/03/2022,2
Ban Huin Dua,https://karenhilltribes.org.uk/border-villages-visiting-the-most-remote-villages-kht-has-worked-in/,https://karenhilltribes.org.uk/wp-content/uploads/2023/01/IMG_20230124_125629.jpg,Border Villages: Visiting the most remote villages KHT has worked in,26/01/2023,15/03/2022,1
Ban Kam Suk,https://karenhilltribes.org.uk/benjie-teaches-in-khun-mae-la/,https://karenhilltribes.org.uk/wp-content/uploads/2020/08/Benjie-at-Khun-Mae-La-primary-school.jpg,Benjie Teaches in Khun Mae La,10/9/2020,15/03/2022,1
Ban Kong Sum Nua,https://karenhilltribes.org.uk/water-sanitation-hygiene-in-remote-communities/,https://karenhilltribes.org.uk/wp-content/uploads/2021/04/Mr-Danai.jpg,"Water, Sanitation & Hygiene in Remote Communities",1/4/2021,15/03/2022,1
Ban Mae Hard,https://karenhilltribes.org.uk/a-beautiful-experience-in-ban-mae-hard-village/,https://karenhilltribes.org.uk/wp-content/uploads/2023/07/MicrosoftTeams-image-2023-07-14T143217.886.jpg,A Beautiful Experience in Ban Mae Hard Village,14/07/2023,15/03/2022,1
Ban Mae La Gnew,https://karenhilltribes.org.uk/supporting-ban-mae-la-gnew/,https://karenhilltribes.org.uk/wp-content/uploads/2023/02/MicrosoftTeams-image-77.jpg,Supporting Ban Mae La Gnew: Water and Help for Famers,1/2/2023,15/03/2022,1
Ban Mae La Ka,https://karenhilltribes.org.uk/labour-and-love-karen-mothers-in-ban-mae-la-ka/,https://karenhilltribes.org.uk/wp-content/uploads/2023/04/MicrosoftTeams-image-2023-04-27T083049.945.jpg,Labour and Love: Karen Mothers in Ban Mae La Ka,27/04/2023,15/03/2022,1
Ban Mae La Ngew,https://karenhilltribes.org.uk/a-village-that-cant-grow-rice/,https://karenhilltribes.org.uk/wp-content/uploads/2022/09/MicrosoftTeams-image-12.jpg,A Village That Can't Grow Rice,12/10/2022,15/03/2022,1
Ban Mae La Noi,https://karenhilltribes.org.uk/teachers-reflections-school-meals-is-a-bridge/,https://karenhilltribes.org.uk/wp-content/uploads/2021/05/42426785_1952442948127093_5246056682366173184_n.jpg,Teachers reflections: School meals is a bridge,6/5/2021,15/03/2022,1
Ban Mae Ler,https://karenhilltribes.org.uk/kht-2021-irrigation-me-report/,,KHT 2021 Irrigation M&E Report,20/03/2022,15/03/2022,1
Ban Mae Phae,https://karenhilltribes.org.uk/kht-2021-irrigation-me-report/,,KHT 2021 Irrigation M&E Report,20/03/2022,15/03/2022,1
Ban Mae Po,https://karenhilltribes.org.uk/kht-2021-irrigation-me-report/,,KHT 2021 Irrigation M&E Report,20/03/2022,15/03/2022,1
Ban Mae Song,https://karenhilltribes.org.uk/kht-2021-irrigation-me-report/,,KHT 2021 Irrigation M&E Report,20/03/2022,15/03/2022,1
Ban Mae Tia,https://karenhilltribes.org.uk/working-together-to-make-a-difference-for-karen-villagers/,https://karenhilltribes.org.uk/wp-content/uploads/2022/09/WhatsApp-Image-2022-09-26-at-7.19.43-AM-768x576.jpeg,Working Together to Make a Difference for Karen Villagers,7/10/2022,15/03/2022,1
Ban Mae Tia,https://karenhilltribes.org.uk/a-year-of-no-water-scarcity-in-ban-mae-tia/,https://karenhilltribes.org.uk/wp-content/uploads/2023/12/MicrosoftTeams-image-2023-12-18T061032.893.jpg,A Year of No Water Scarcity in Ban Mae Tia,18/12/2023,15/03/2022,2
Ban Mae Um Long Noi,https://karenhilltribes.org.uk/volunteer-diary-hard-work-and-food-breaks/,https://karenhilltribes.org.uk/wp-content/uploads/2024/02/IMG-20240228-WA0019.jpg,Volunteer Diary: Hard Work and Food Breaks!,29/02/2024,15/03/2022,1
Ban Mae Um Pok,https://karenhilltribes.org.uk/volunteer-diary-hard-work-and-food-breaks/,https://karenhilltribes.org.uk/wp-content/uploads/2024/02/IMG-20240228-WA0019.jpg,Volunteer Diary: Hard Work and Food Breaks!,29/02/2024,15/03/2022,1
Ban Mae Yuam Luang,https://karenhilltribes.org.uk/a-farmer-and-a-father-sarawuts-story/,https://karenhilltribes.org.uk/wp-content/uploads/2022/09/WhatsApp-Image-2022-09-19-at-9.10.48-AM.jpeg,A Farmer and a Father: Sarawut's Story,19/09/2022,15/03/2022,1
Ban Ma Hin Lung,https://karenhilltribes.org.uk/kht-making-a-difference-meeting-old-friends/,https://karenhilltribes.org.uk/wp-content/uploads/2023/01/IMG-20230118-WA0003.jpg,KHT Making a Difference: Meeting Old Friends!,20/01/2023,15/03/2022,1
Ban Mai Pattana,https://karenhilltribes.org.uk/the-beauty-and-meaning-of-karen-tribal-fashion/,https://karenhilltribes.org.uk/wp-content/uploads/2022/11/MicrosoftTeams-image-31.jpg,The Beauty and Meaning of Karen Tribal Fashion ,10/11/2022,15/03/2022,1
Ban Oom Long Noi,https://karenhilltribes.org.uk/new-hope-for-oom-long-noi-village/,https://karenhilltribes.org.uk/wp-content/uploads/2024/01/MicrosoftTeams-image-2024-01-11T064858.600.jpg,New Hope for Oom Long Noi Village,11/1/2024,15/03/2022,1
Ban Pa Khae,https://karenhilltribes.org.uk/clean-water-for-a-village-on-the-border/,https://karenhilltribes.org.uk/clean-water-for-a-village-on-the-border/,Clean Water for a Village on the Border,7/8/2023,15/03/2022,1
Ban Pa Khae,https://karenhilltribes.org.uk/sunday-in-ban-pa-khae/,https://karenhilltribes.org.uk/wp-content/uploads/2023/10/MicrosoftTeams-image-2023-10-25T174739.848.jpg,Sunday in Ban Pa Khae,27/10/2023,15/03/2022,2
Ban Pa Maak,https://karenhilltribes.org.uk/extreme-weather-impacting-the-lives-of-the-karen/,https://karenhilltribes.org.uk/wp-content/uploads/2023/09/379335075_184998314616398_6992242523766010778_n.jpg,Extreme Weather Impacting the Lives of the Karen!,27/09/2023,15/03/2022,1
Ban Pa Maak,https://karenhilltribes.org.uk/you-are-easing-the-struggles-of-karen-farmers-everyday/,https://karenhilltribes.org.uk/wp-content/uploads/2023/06/MicrosoftTeams-image-2023-06-28T121006.472.jpg,You Are Easing the Struggles of Karen Farmers Every Day!,28/06/2023,15/03/2022,2
Ban Pang Tong,https://karenhilltribes.org.uk/an-interview-with-alice/,https://karenhilltribes.org.uk/wp-content/uploads/2020/09/Alice-water-volunteer.jpg,An Interview with Alice,10/9/2020,15/03/2022,1
Ban Pang Tong,https://karenhilltribes.org.uk/the-secret-diary-of-a-volunteer/,https://karenhilltribes.org.uk/wp-content/uploads/2020/08/13694176_10153582560092121_1802325401_o.jpg,The Secret Diary of a Volunteer,10/9/2020,15/03/2022,2
Ban Thuan,https://karenhilltribes.org.uk/a-prayer-and-an-uphill-struggle-for-water/,https://karenhilltribes.org.uk/wp-content/uploads/2023/04/MicrosoftTeams-image-2023-03-31T103933.458.jpg,A Prayer and an Uphill Struggle for Water...,3/4/2023,15/03/2022,1
Ban Thuan,https://karenhilltribes.org.uk/working-for-better-lives-in-ban-thuan/,https://karenhilltribes.org.uk/wp-content/uploads/2023/06/MicrosoftTeams-image-2023-06-19T151838.207.jpg,Working for Better Lives in Ban Thuan,19/06/2023,15/03/2022,2
Ban Thung Pa Kha,https://karenhilltribes.org.uk/making-a-difference-and-reducing-poverty-in-100-villages/,https://karenhilltribes.org.uk/wp-content/uploads/2022/08/%E0%B8%9D%E0%B8%B2%E0%B8%A2%E0%B8%99%E0%B9%89%E0%B8%B3%E0%B8%9A%E0%B9%89%E0%B8%B2%E0%B8%99%E0%B8%97%E0%B8%B8%E0%B9%88%E0%B8%87%E0%B8%9B%E0%B9%88%E0%B8%B2%E0%B8%84%E0%B8%B2-100_%E0%B9%92%E0%B9%92%E0%B9%90%E0%B9%96%E0%B9%91%E0%B9%90_15_1.jpg,Making a Difference and Reducing Poverty in Karen Villages!,4/8/2022,15/03/2022,1
Khun Yuam,https://karenhilltribes.org.uk/volunteering-diary-looking-back-on-my-time-in-khun-yuam/,https://karenhilltribes.org.uk/wp-content/uploads/2022/10/MicrosoftTeams-image-20.jpg,Volunteering Diary: Looking Back On My Time in Khun Yuam,10/1/2023,15/03/2022,1
Khun Yuam,https://karenhilltribes.org.uk/the-beauty-and-meaning-of-karen-tribal-fashion/,https://karenhilltribes.org.uk/wp-content/uploads/2022/11/MicrosoftTeams-image-31.jpg,The Beauty and Meaning of Karen Tribal Fashion ,10/11/2022,15/03/2022,2
Khun Yuam,https://karenhilltribes.org.uk/seasons-greetings-from-kht/,https://karenhilltribes.org.uk/wp-content/uploads/2022/11/MicrosoftTeams-image-42.jpg,Season's Greetings from KHT,14/12/2022,15/03/2022,3
Khun Yuam,https://karenhilltribes.org.uk/volunteer-diary-living-in-khun-yuam/,https://karenhilltribes.org.uk/wp-content/uploads/2022/10/MicrosoftTeams-image-20.jpg,Volunteer Diary: Living in Khun Yuam,25/10/2022,15/03/2022,4
Khun Yuam,https://karenhilltribes.org.uk/volunteer-diary-first-impressions-and-teaching-in-khun-yuam/,https://karenhilltribes.org.uk/wp-content/uploads/2022/10/MicrosoftTeams-image-25.jpg,Volunteer Diary: First Impressions and Teaching in Khun Yuam,28/10/2022,15/03/2022,5
